source_id,family_id,membership,title,authors,year
VKM-SRC-009,FAM-12,core,Оценка влияния добычи калийных солей на состояние окружающей среды в виде деформаций земной поверхности методами радиоло,"Горский Д.А., Хоменков К.А. (УП «Геоинформационные системы», Республика Беларусь",2012
VKM-SRC-010,FAM-12,core,Применение радарной интерферометрии для комплексной оценки геомеханических и термодинамических процессов (на примере Куз,"Миков Л.С., Потапов В.П. (ФИЦ ИВТ, Кемерово)",2024
VKM-SRC-003,FAM-13,associated,Поля смещений природных и техногенных объектов по данным спутниковой радарной интерферометрии: методика определения и ин,Бабаянц Игорь Павлович (науч. рук. чл.-корр. РАН В.О. Михайлов),2023
VKM-SRC-004,FAM-13,associated,Мониторинг оседаний на территории г. Березники (Пермский край) методами спутниковой радарной интерферометрии. II. Метод ,"Бабаянц И.П., Барях А.А., Михайлов В.О., Тимошкина Е.П., Волкова М.С., Хайретдин",2023
VKM-SRC-007,FAM-13,associated,Опыт мониторинга оседаний земной поверхности в урбанизированных районах методом радиолокационной спутниковой интерфероме,Ширшова В.Ю. (МГУ им. М.В. Ломоносова),2020
VKM-SRC-008,FAM-13,associated,Спутниковая радарная интерферометрия: информационно-вычислительные аспекты,"Шокин Ю.И., Потапов В.П., Попов С.Е., Гиниятуллина О.Л. (ИВТ СО РАН, Новосибирск",2016
VKM-SRC-010,FAM-13,associated,Применение радарной интерферометрии для комплексной оценки геомеханических и термодинамических процессов (на примере Куз,"Миков Л.С., Потапов В.П. (ФИЦ ИВТ, Кемерово)",2024
VKM-SRC-005,FAM-14,associated,Настройка геомеханической модели подработанной толщи с учетом данных радарной интерферометрии,"Губанова Е.А., Глебова П.А.",2022
VKM-SRC-012,FAM-14,associated,Прогноз деформационных процессов междушахтных целиков калийного месторождения на основе комплекса натурных исследований,Лебедева Олеся Олеговна (научн. рук. Кашников Ю.А.),2023
VKM-SRC-025,FAM-14,associated,Физико-механические свойства соляных пород Верхнекамского калийного месторождения,"Барях А.А., Асанов В.А., Паньков И.Л. (§1.2 написан А.И. Кудряшовым)",2008
VKM-SRC-031,FAM-14,associated,Оценка степени нагружения междукамерных целиков на участке длительно остановленной границы горных работ,Глебова П.А.,2022
VKM-SRC-035,FAM-14,associated,Разработка инженерных критериев нарушения сплошности подработанных толщ,"Барях А.А., Самоделкина Н.А. (ГИ УрО РАН)",2011
VKM-SRC-038,FAM-14,associated,Математическое моделирование деформаций земной поверхности в условиях крупномасштабного растворения соляных пород,"Самоделкина Н.А., Барях А.А. (ГИ УрО РАН)",2009
VKM-SRC-039,FAM-14,associated,Оценка граничных углов при отработке калийных солей на больших глубинах,"Лобанов С.Ю., Федосеев А.К. (ГИ УрО РАН)",2022
VKM-SRC-023,FAM-15,core,Геоинформационное моделирование оседаний земной поверхности при разработке Верхнекамского месторождения калийно-магниевы,"Филатова М.С. (рук. к.т.н., доц. Акматов Д.Ж.; консультант Маневич А.И.)",2026 (задание выдано 19.05.2025)
VKM-SRC-024,FAM-15,core,Горные и маркшейдерские работы при разработке Гремячинского месторождения калийных солей (спец. часть: проект подземной ,Бобровицкий Г.А. (рук. к.т.н. Шевчук Р.В.),2026
