design,fold_id,model_id,parameter_count,feature_count,state_sha256
leave_profile_out,leave_profile_out_P-H01,M1_ridge,74,73,a519499a7d7334232b9affd7dc96eb19593eec45e816e302e350c78264e07843
leave_profile_out,leave_profile_out_P-H01,M2_extra_trees,41460,73,832c861ca73a895666b00fabc08513d1fe3a5c20214676de1b193c68834223be
leave_profile_out,leave_profile_out_P-H02,B1_persistence_last_rate,1,0,fb352ebaf5561fd1efcaffd72780157e6d65fe5f4122be3b5e7417fae2c6142c
leave_profile_out,leave_profile_out_P-H02,B3_profile_robust_trend,3,0,e4773c25cdc67365057cdefac3964d21c03a4e4f0bc9f7f5af068183ffc358a9
leave_profile_out,leave_profile_out_P-H02,B5_fixed_kalman,0,0,2488426042f1b8505725c799b93802209e5ab0704d328dd0078ca863f667cc09
leave_profile_out,leave_profile_out_P-H02,M1_ridge,74,73,39ea8a35caab7586f199d2fee6b296e1cf218d8ed0a3fae1f28853ab0b36da38
leave_profile_out,leave_profile_out_P-H02,M2_extra_trees,40630,73,f48efde73e8dca62c89309b1593b1c3ff3c1413bb5db454e495c3ba4bccc8fc6
leave_profile_out,leave_profile_out_P-H03,B1_persistence_last_rate,1,0,b75192f71dedcc602818351a04517c6ad3394498ef75d457ad3b8d68b358f278
leave_profile_out,leave_profile_out_P-H03,B3_profile_robust_trend,3,0,247459cc5b51c80e52d4c634f9aa74b8adfef644ce8cca09885f6c0e3acfb41a
leave_profile_out,leave_profile_out_P-H03,B5_fixed_kalman,0,0,fcd312149440e93d58b6d8b450309ab16e58fcc6301791cc0184e7a4069a5ea9
leave_profile_out,leave_profile_out_P-H03,M1_ridge,74,73,4efcf8fac30c949f5ebc5c68856089b45804cf138193b8464938cc0d0c63b344
leave_profile_out,leave_profile_out_P-H03,M2_extra_trees,37738,73,2301b65437c548ee087931c6d8eb5d536cad532b8aae351feabe9026cd4719ab
leave_profile_out,leave_profile_out_P-H04,B1_persistence_last_rate,1,0,2546c4df2b084eca7697055a4820053f80b211d8603d9f73137763600cd01dc9
leave_profile_out,leave_profile_out_P-H04,B3_profile_robust_trend,3,0,bac4829f1a3a10337e521ec7f984d208bdf210ce2fb8e4a2a55a87af706ec1aa
leave_profile_out,leave_profile_out_P-H04,B5_fixed_kalman,0,0,61900bf084cdaeed7a24a9fd0b0f9270174a888749eafc64a1975e3d431e0e5e
leave_profile_out,leave_profile_out_P-H04,M1_ridge,74,73,87affb2836535dfe017203e861c293b7f60c9f6626ddbfefe3701f0a3235a3de
leave_profile_out,leave_profile_out_P-H04,M2_extra_trees,41318,73,2e4f92f17324fc867a91fe689b9f6dc1de655a1b9e80543f995227609b755241
leave_profile_out,leave_profile_out_P-H05,B1_persistence_last_rate,1,0,2546c4df2b084eca7697055a4820053f80b211d8603d9f73137763600cd01dc9
leave_profile_out,leave_profile_out_P-H05,B3_profile_robust_trend,3,0,034ebd277943920c52f62843040a2a46247f4b604e1e5d27d4b30b9301907580
leave_profile_out,leave_profile_out_P-H05,B5_fixed_kalman,0,0,61900bf084cdaeed7a24a9fd0b0f9270174a888749eafc64a1975e3d431e0e5e
leave_profile_out,leave_profile_out_P-H05,M1_ridge,74,73,bdb78ca13feccca790ee7768a469d421a609bc6e415c6500e9ba982ca1c44495
leave_profile_out,leave_profile_out_P-H05,M2_extra_trees,41714,73,1d7214169601572dcaa298e4669fd625e47855f008ba61b451879ff8d0b33d7a
leave_profile_out,leave_profile_out_P-H06,B1_persistence_last_rate,1,0,cfa5687d9ec6039f45d0db0f41fab5aed59eca7837352bcf07cfb66f24bab172
leave_profile_out,leave_profile_out_P-H06,B3_profile_robust_trend,3,0,1fb41332d81665e54b8b097b1440bb449d8a9d136f7f6b6bfeb8c0a8c63a9951
leave_profile_out,leave_profile_out_P-H06,B5_fixed_kalman,0,0,9d760db1e187eb9b669745fffa81aee1f04d8f8f8c0e584edfe9afae87ad0e4b
leave_profile_out,leave_profile_out_P-H06,M1_ridge,74,73,7e069edb6505c4c700ae5a0a6ee4230855b90e3d635c3e08f2481a1806bf1eba
leave_profile_out,leave_profile_out_P-H06,M2_extra_trees,40820,73,33cd495ecffba1ded561a4927ed0450ef42c5ebf048ec72910c49ba85fb2536b
leave_profile_out,leave_profile_out_P-H07,B1_persistence_last_rate,1,0,6a17774973a284eca7d5a0c5a85f6781d8ec2b008c8230aeba5751f88bd94eb7
leave_profile_out,leave_profile_out_P-H07,B3_profile_robust_trend,3,0,59d36d669101acd539492db4bab9c2edbcd99951ce97decfc8ad965fa874a96f
leave_profile_out,leave_profile_out_P-H07,B5_fixed_kalman,0,0,fe6cd61d8f3aca31adc76f9d0838dbb39c5db4aa13013c344133a76ff8457487
leave_profile_out,leave_profile_out_P-H07,M1_ridge,74,73,1df97e1f3c2706e311183503ff5cfac5b1405dd073ab8edaecde1d63bfea8e95
leave_profile_out,leave_profile_out_P-H07,M2_extra_trees,41452,73,c2920991767f99b007e27d7388b9ac3a8c371fe13bdd347417136a2d4fc5dde2
leave_profile_out,leave_profile_out_P-V01,B1_persistence_last_rate,1,0,bfe7b1d4ed9b514cb502607c71c2a43bfe2aa25049477756ba8ed0eb1e133860
leave_profile_out,leave_profile_out_P-V01,B3_profile_robust_trend,3,0,1b62d812884951dc3411a52697770efec14d1c70a2df9336cf5fe784f05246f8
leave_profile_out,leave_profile_out_P-V01,B5_fixed_kalman,0,0,00771612ad91c3bc0745d8c76865faa1645b3b4737bbf87fe522cc63894c77c4
leave_profile_out,leave_profile_out_P-V01,M1_ridge,74,73,7cf95bcbe19900ceb665eac4172ce2972de2640295dbe27bbb26028f02ad9f92
leave_profile_out,leave_profile_out_P-V01,M2_extra_trees,41500,73,0616e3866890eee901b4bc7a59ce6e124f757ddadca3c9d79b2c0e2aac9204d6
