design,fold_id,held_out_group,model_id,family,train_rows,validation_rows,fit_seconds,inference_seconds,n,mae,rmse,bias,r2,precision_weighted_n,precision_weighted_mae,precision_weighted_rmse,precision_weighted_bias,precision_weighted_r2
temporal_holdout,temporal_validation_2024,,B1_persistence_last_rate,persistence,911,130,0.0005406000127550215,3.600001218728721e-05,130,7.31092175130067,11.071272766527729,-3.0461735358418554,0.9422866223175526,130,5.882645543870569,9.363003657714888,-2.7512792052428696,0.9395584512477912
temporal_holdout,temporal_validation_2024,,B3_profile_robust_trend,profile_robust_trend,911,130,0.0008882999973138794,0.000222400005441159,130,10.414165287368212,15.355721069263357,-5.659416922901126,0.8889747345665806,130,8.1267279641443,12.772522772359931,-4.659569584316536,0.887524335042387
temporal_holdout,temporal_validation_2024,,B5_fixed_kalman,fixed_kalman,911,130,0.0004828999954042956,0.23244880000129342,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477,130,6.539862721680919,11.675834403856884,-3.2438579374509073,0.9060101293860272
temporal_holdout,temporal_validation_2024,,M1_ridge,ridge,911,130,0.03374850000545848,0.011680700001306832,130,8.133646443429082,12.292505041993303,-1.3411742768110488,0.9288520844540711,130,6.319710490843843,10.095778801305809,-2.2135421765291765,0.929727589464987
temporal_holdout,temporal_validation_2024,,M2_extra_trees,extra_trees,911,130,0.5554468000045745,0.02270789998874534,130,7.527836953055269,11.330904080786956,-2.1803382666842173,0.939548021813474,130,5.821331928262984,9.508378753988676,-1.9366599555739428,0.9376669835506621
rolling_origin,rolling_01,,B1_persistence_last_rate,persistence,823,88,0.0004724000027636066,4.569999873638153e-05,88,6.104172770658447,10.470596431765475,1.0242381158204608,0.9129945556349127,88,5.788317097879457,9.44610943084857,1.697771931114373,0.9230175993272234
rolling_origin,rolling_01,,B3_profile_robust_trend,profile_robust_trend,823,88,0.000902900006622076,0.000202799987164326,88,8.48626591154176,13.609277317725407,-0.6144848011775512,0.8530147635671136,88,7.8856359610941125,12.443935932646305,0.12055086739070736,0.8664016672529171
rolling_origin,rolling_01,,B5_fixed_kalman,fixed_kalman,823,88,0.0004381000035209581,0.15570540000044275,88,7.194351417200138,12.969706758703836,-0.8303176357725094,0.8665053375669348,88,6.117683106048611,10.584408129281778,0.9131270029142349,0.903346260648522
rolling_origin,rolling_01,,M1_ridge,ridge,823,88,0.029153300012694672,0.011605099993175827,88,6.799431759525372,11.55272396146604,0.401341709113761,0.8940813636804724,88,6.107450024291236,10.21915114068858,1.1254676535189867,0.9099020000892514
rolling_origin,rolling_01,,M2_extra_trees,extra_trees,823,88,0.49075539999466855,0.02184079999278765,88,6.59843552347612,11.098389117631523,0.6059073473057025,0.9022484882700019,88,6.2846490113785585,10.12806963781171,1.224394139324069,0.9115008982054643
rolling_origin,rolling_02,,B1_persistence_last_rate,persistence,911,14,0.0005947999889031053,3.5600009141489863e-05,14,6.880727032397921,7.691310282027418,0.25760706408169626,0.9781740841782356,14,6.402649417820136,7.032654776693758,-2.988700700617317,0.9849620742584264
rolling_origin,rolling_02,,B3_profile_robust_trend,profile_robust_trend,911,14,0.0008460999961243942,0.0001875000016298145,14,8.911790814754475,13.207663468189466,-2.4298764223888534,0.9356388491680201,14,9.772612308459667,14.811854112524255,-5.641579599810519,0.9332934945919162
rolling_origin,rolling_02,,B5_fixed_kalman,fixed_kalman,911,14,0.00041190000774804503,0.03486400000110734,14,5.9227762765258065,7.092047683773983,1.3564420336346317,0.9814426864481203,14,4.962636780878191,6.031778994797103,-1.4477538772118426,0.9889378338035275
rolling_origin,rolling_02,,M1_ridge,ridge,911,14,0.029290899998159148,0.010963000007905066,14,7.712600969704983,9.772848287350211,6.259340294570345,0.9647617667684077,14,5.935158418407688,7.814054768341462,3.639589176283116,0.9814346885387231
rolling_origin,rolling_02,,M2_extra_trees,extra_trees,911,14,0.5286442999931751,0.020999899992602877,14,6.802310767422037,8.084229672646565,2.2227809282251587,0.9758871192386908,14,6.287817023883901,7.462576314353392,-0.3556321655700181,0.9830672729158583
rolling_origin,rolling_03,,B1_persistence_last_rate,persistence,925,88,0.0005169000069145113,3.920000744983554e-05,88,6.323280435240962,10.43886905509152,-3.3369073132884077,0.9256420651715099,88,5.484620867729157,8.955996227574705,-2.667820178623919,0.9278177494261505
