design,model_id,family,folds,n,mae,rmse,bias,r2,precision_weighted_n,precision_weighted_mae,precision_weighted_rmse,precision_weighted_bias,precision_weighted_r2
leave_profile_out,B1_persistence_last_rate,persistence,14,130,7.31092175130067,11.071272766527729,-3.0461735358418554,0.9422866223175526,130,5.882645543870567,9.363003657714888,-2.751279205242869,0.9395584512477912
leave_profile_out,B5_fixed_kalman,fixed_kalman,14,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477,130,6.539862721680918,11.675834403856884,-3.243857937450906,0.9060101293860272
leave_profile_out,M2_extra_trees,extra_trees,14,130,8.681269558512941,13.610446829649456,-2.6697918834730068,0.9127779766169102,130,6.345516608410303,10.798626261025577,-2.0160621495556255,0.9196025601958089
leave_profile_out,M1_ridge,ridge,14,130,9.66039260164121,13.519543355561488,-1.041180067056213,0.9139391885988638,130,7.691221663747567,11.198983912899019,-2.2475118967626764,0.9135306011592448
leave_profile_out,B3_profile_robust_trend,profile_robust_trend,14,130,10.443626271217619,15.429211048299948,-5.693512012998836,0.8879094939569675,130,8.150884919092231,12.845255243422493,-4.687098572521686,0.8862397140964529
leave_zone_out,B1_persistence_last_rate,persistence,4,130,7.31092175130067,11.071272766527729,-3.046173535841856,0.9422866223175526,130,5.882645543870568,9.363003657714888,-2.7512792052428696,0.9395584512477912
leave_zone_out,B5_fixed_kalman,fixed_kalman,4,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477,130,6.539862721680921,11.675834403856886,-3.2438579374509073,0.9060101293860272
leave_zone_out,B3_profile_robust_trend,profile_robust_trend,4,130,10.543585506816402,15.693082532388157,-5.807585481955046,0.8840427497326234,130,8.236675501092773,13.108264039628631,-4.782167145738283,0.8815334994851796
leave_zone_out,M1_ridge,ridge,4,130,11.777232694761388,16.49605380524809,-2.4549732534778332,0.8718727456689367,130,9.586170468606111,14.134158299369638,-1.4782807307307602,0.8622647504926986
leave_zone_out,M2_extra_trees,extra_trees,4,130,16.340146511429086,29.389856177667582,-10.727928252019437,0.5932979960572403,130,11.343843310532218,22.471293549296334,-5.563109549540847,0.6518540524984311
rolling_origin,M2_extra_trees,extra_trees,5,218,6.764585579099045,10.799654678843643,-0.6774184551640822,0.9356079247893795,218,5.8923747093983,9.566387661108177,-0.3417732661235678,0.9307255574681825
rolling_origin,B1_persistence_last_rate,persistence,5,218,6.8237937224175695,10.832807537871396,-1.403071584712113,0.9352119754485313,218,5.842948918937499,9.404895210811768,-0.6989149266819598,0.9330446923679208
rolling_origin,M1_ridge,ridge,5,218,7.5061929468340205,11.946084532058427,-0.6010566271168238,0.9212113152618875,218,6.201215162197107,10.135171772822725,-0.6777674401939239,0.9222430324869577
rolling_origin,B5_fixed_kalman,fixed_kalman,5,218,7.696273649794031,13.203883250069847,-2.4129318708197354,0.9037466098576213,218,6.34869142780582,11.187769335758171,-1.3250682360180344,0.9052532994262866
rolling_origin,B3_profile_robust_trend,profile_robust_trend,5,218,9.63594416371728,14.677740178903644,-3.6233134661760737,0.8810591398480149,218,8.019893835497836,12.62805837300855,-2.458174334833586,0.8792880545552006
temporal_holdout,B1_persistence_last_rate,persistence,1,130,7.31092175130067,11.071272766527729,-3.0461735358418554,0.9422866223175526,130,5.882645543870569,9.363003657714888,-2.7512792052428696,0.9395584512477912
temporal_holdout,M2_extra_trees,extra_trees,1,130,7.527836953055269,11.330904080786956,-2.1803382666842173,0.939548021813474,130,5.821331928262984,9.508378753988676,-1.9366599555739428,0.9376669835506621
temporal_holdout,B5_fixed_kalman,fixed_kalman,1,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477,130,6.539862721680919,11.675834403856884,-3.2438579374509073,0.9060101293860272
temporal_holdout,M1_ridge,ridge,1,130,8.133646443429082,12.292505041993303,-1.3411742768110488,0.9288520844540711,130,6.319710490843843,10.095778801305809,-2.2135421765291765,0.929727589464987
temporal_holdout,B3_profile_robust_trend,profile_robust_trend,1,130,10.414165287368212,15.355721069263357,-5.659416922901126,0.8889747345665806,130,8.1267279641443,12.772522772359931,-4.659569584316536,0.887524335042387
