design,model_id,mae,reference_b1_mae,delta_vs_b1_mae,improvement_vs_b1_percent,reference_fixed_kalman_mae,delta_vs_fixed_kalman_mae,improvement_vs_fixed_kalman_percent
leave_profile_out,B1_persistence_last_rate,7.31092175130067,7.31092175130067,0.0,0.0,8.03603639185759,-0.7251146405569191,9.02328716793309
leave_profile_out,B5_fixed_kalman,8.03603639185759,7.31092175130067,0.7251146405569191,-9.918238290922966,8.03603639185759,0.0,0.0
leave_profile_out,M2_extra_trees,8.681269558512941,7.31092175130067,1.370347807212271,-18.74384453599815,8.03603639185759,0.6452331666553519,-8.029246449271014
leave_profile_out,M1_ridge,9.66039260164121,7.31092175130067,2.3494708503405395,-32.13645187657152,8.03603639185759,1.6243562097836204,-20.213400370230758
leave_profile_out,B3_profile_robust_trend,10.443626271217619,7.31092175130067,3.132704519916949,-42.84965188363036,8.03603639185759,2.40758987936003,-29.95991757577765
leave_zone_out,B1_persistence_last_rate,7.31092175130067,7.31092175130067,0.0,0.0,8.03603639185759,-0.7251146405569191,9.02328716793309
leave_zone_out,B5_fixed_kalman,8.03603639185759,7.31092175130067,0.7251146405569191,-9.918238290922966,8.03603639185759,0.0,0.0
leave_zone_out,B3_profile_robust_trend,10.543585506816402,7.31092175130067,3.2326637555157323,-44.216910883235975,8.03603639185759,2.507549114958813,-31.203804869519445
leave_zone_out,M1_ridge,11.777232694761388,7.31092175130067,4.4663109434607176,-61.09094168141145,8.03603639185759,3.7411963029037985,-46.55524341197008
leave_zone_out,M2_extra_trees,16.340146511429086,7.31092175130067,9.029224760128416,-123.50323348108667,8.03603639185759,8.304110119571497,-103.33589489447223
rolling_origin,M2_extra_trees,6.764585579099045,6.8237937224175695,-0.059208143318524975,0.867671939203174,7.696273649794031,-0.9316880706949862,12.105703527315718
rolling_origin,B1_persistence_last_rate,6.8237937224175695,6.8237937224175695,0.0,0.0,7.696273649794031,-0.8724799273764612,11.33639430037432
rolling_origin,M1_ridge,7.5061929468340205,6.8237937224175695,0.682399224416451,-10.000290925773866,7.696273649794031,-0.19008070296001023,2.4697757851307327
rolling_origin,B5_fixed_kalman,7.696273649794031,6.8237937224175695,0.8724799273764612,-12.785848501108477,7.696273649794031,0.0,0.0
rolling_origin,B3_profile_robust_trend,9.63594416371728,6.8237937224175695,2.8121504412997105,-41.21095325700154,7.696273649794031,1.9396705139232493,-25.202722800470575
temporal_holdout,B1_persistence_last_rate,7.31092175130067,7.31092175130067,0.0,0.0,8.03603639185759,-0.7251146405569191,9.02328716793309
temporal_holdout,M2_extra_trees,7.527836953055269,7.31092175130067,0.216915201754599,-2.9670020981418395,8.03603639185759,-0.5081994388023201,6.324006189385188
temporal_holdout,B5_fixed_kalman,8.03603639185759,7.31092175130067,0.7251146405569191,-9.918238290922966,8.03603639185759,0.0,0.0
temporal_holdout,M1_ridge,8.133646443429082,7.31092175130067,0.8227246921284124,-11.253364761865262,8.03603639185759,0.09761005157149327,-1.2146541754140812
temporal_holdout,B3_profile_robust_trend,10.414165287368212,7.31092175130067,3.1032435360675414,-42.4466796613635,8.03603639185759,2.3781288955106223,-29.593306694332927
