design,model_id,family,folds,n,mae,rmse,bias,r2,reference_b7_mae,improvement_vs_b7_percent
internal_temporal,B8_student_t_robust_imm,imm_student_t_robust_observation,1,88,5.831074817936809,10.946864735809527,0.31653196232962744,0.9048994362932273,6.014953289421122,3.057022434533475
internal_temporal,B7_two_regime_imm,imm_damped_acceleration,1,88,6.014953289421122,11.34116677270468,0.5239698014585853,0.8979250769295285,6.014953289421122,0.0
internal_temporal,B1_persistence_last_rate,persistence,1,88,6.104172770658447,10.470596431765475,1.0242381158204608,0.9129945556349127,6.014953289421122,-1.4832946648852854
internal_temporal,B6_adaptive_kalman,adaptive_kalman,1,88,6.775352131647587,12.086702282509183,-0.47352421008369594,0.8840637531114188,6.014953289421122,-12.641807934964788
internal_temporal,B5_fixed_kalman,fixed_kalman,1,88,7.194351417200138,12.969706758703836,-0.8303176357725094,0.8665053375669348,6.014953289421122,-19.60776868963052
train_leave_profile_out,B8_student_t_robust_imm,imm_student_t_robust_observation,14,88,5.820914038763101,10.936247397726623,0.32391579595455233,0.9050838224533007,6.006718845912882,3.093282903963567
train_leave_profile_out,B7_two_regime_imm,imm_damped_acceleration,14,88,6.006718845912882,11.328284108011246,0.5340829210699061,0.8981568432314947,6.006718845912882,0.0
train_leave_profile_out,B1_persistence_last_rate,persistence,14,88,6.104172770658447,10.470596431765474,1.0242381158204608,0.9129945556349127,6.006718845912882,-1.6224152860404857
train_leave_profile_out,B6_adaptive_kalman,adaptive_kalman,14,88,6.767278974530802,12.06793273428775,-0.4671429857468152,0.8844235504003253,6.006718845912882,-12.661823336969123
train_leave_profile_out,B5_fixed_kalman,fixed_kalman,14,88,7.194351417200139,12.969706758703836,-0.8303176357725098,0.8665053375669348,6.006718845912882,-19.771735647246924
train_leave_zone_out,B8_student_t_robust_imm,imm_student_t_robust_observation,4,88,5.857715885707418,10.926217960465806,0.3298452008991909,0.9052578344891078,6.04617258266821,3.1169586111553684
train_leave_zone_out,B7_two_regime_imm,imm_damped_acceleration,4,88,6.04617258266821,11.305984607251101,0.5805952628600813,0.8985574010336044,6.04617258266821,0.0
train_leave_zone_out,B1_persistence_last_rate,persistence,4,88,6.104172770658447,10.470596431765474,1.0242381158204608,0.9129945556349127,6.04617258266821,-0.9592876683093557
train_leave_zone_out,B6_adaptive_kalman,adaptive_kalman,4,88,6.727334044042708,11.978247187887101,-0.41646152642270284,0.8861350316216983,6.04617258266821,-11.265994347020403
train_leave_zone_out,B5_fixed_kalman,fixed_kalman,4,88,7.194351417200138,12.969706758703836,-0.8303176357725095,0.8665053375669348,6.04617258266821,-18.99017632780224
train_rolling_origin,B7_two_regime_imm,imm_damped_acceleration,5,292,6.227143681440283,11.668501782723407,-1.0158124659761498,0.8654963430807339,6.227143681440283,0.0
train_rolling_origin,B8_student_t_robust_imm,imm_student_t_robust_observation,5,292,6.508646004281616,12.514649884611424,-1.0958115683707135,0.8452818347524763,6.227143681440283,-4.520568935647619
train_rolling_origin,B6_adaptive_kalman,adaptive_kalman,5,292,6.758302380112201,12.386582284216447,-1.8494125503668593,0.8484322224882577,6.227143681440283,-8.529732504085498
train_rolling_origin,B1_persistence_last_rate,persistence,5,292,7.0906676249268425,12.590003485368673,-1.3164736616761348,0.8434130377126463,6.227143681440283,-13.867095215102447
train_rolling_origin,B5_fixed_kalman,fixed_kalman,5,292,7.122929662424193,13.179129784706708,-2.228244253562518,0.8284157708095404,6.227143681440283,-14.38518246581911
