design,fold_id,held_out_group,model_id,family,rows,n,mae,rmse,bias,r2
train_leave_profile_out,train_leave_profile_out_P-H06,P-H06,B8_student_t_robust_imm,imm_student_t_robust_observation,6,6,2.306581668010101,2.46365893599769,-0.956311400730211,0.01178472425094057
train_leave_profile_out,train_leave_profile_out_P-H06,P-H06,B7_two_regime_imm,imm_damped_acceleration,6,6,2.314344872947239,2.4682837224403356,-0.9637085611975368,0.00807108173536808
train_leave_profile_out,train_leave_profile_out_P-H06,P-H06,B6_adaptive_kalman,adaptive_kalman,6,6,3.113315869411672,3.4336620005842384,-1.5431942730613168,-0.9195767356816655
train_leave_profile_out,train_leave_profile_out_P-H06,P-H06,B5_fixed_kalman,fixed_kalman,6,6,3.226446163241223,3.573602107357488,-1.6046682610852918,-1.079231205112495
train_leave_profile_out,train_leave_profile_out_P-H06,P-H06,B1_persistence_last_rate,persistence,6,6,3.7961404077666767,4.320344007199676,-1.937373414080934,-2.0389744657532574
train_leave_profile_out,train_leave_profile_out_P-H07,P-H07,B6_adaptive_kalman,adaptive_kalman,7,7,3.9901395108773245,4.6256919897282325,3.8208989403089832,0.8610616800239523
train_leave_profile_out,train_leave_profile_out_P-H07,P-H07,B5_fixed_kalman,fixed_kalman,7,7,4.071810919600939,4.583245296055776,3.545185926434283,0.8635998576028902
train_leave_profile_out,train_leave_profile_out_P-H07,P-H07,B1_persistence_last_rate,persistence,7,7,4.233503436177582,4.897161264705837,4.1968173827939115,0.8442753253105597
train_leave_profile_out,train_leave_profile_out_P-H07,P-H07,B7_two_regime_imm,imm_damped_acceleration,7,7,4.291673382286561,4.805773909113788,3.89901878289305,0.8500331423609191
train_leave_profile_out,train_leave_profile_out_P-H07,P-H07,B8_student_t_robust_imm,imm_student_t_robust_observation,7,7,4.303991761514227,4.814409175009837,3.9123431462896923,0.8494937215804159
train_leave_profile_out,train_leave_profile_out_P-V01,P-V01,B1_persistence_last_rate,persistence,6,6,4.44246356502383,5.459970906920724,4.414517394976196,0.6181476953249769
train_leave_profile_out,train_leave_profile_out_P-V01,P-V01,B5_fixed_kalman,fixed_kalman,6,6,4.916790905038496,5.823285756280293,4.916790905038496,0.5656388612875751
train_leave_profile_out,train_leave_profile_out_P-V01,P-V01,B6_adaptive_kalman,adaptive_kalman,6,6,4.98048778940005,5.838442600413894,4.98048778940005,0.5633748089380813
train_leave_profile_out,train_leave_profile_out_P-V01,P-V01,B8_student_t_robust_imm,imm_student_t_robust_observation,6,6,5.159014265255513,5.816940858203668,5.159014265255513,0.5665848824340438
train_leave_profile_out,train_leave_profile_out_P-V01,P-V01,B7_two_regime_imm,imm_damped_acceleration,6,6,5.179876037933752,5.823639050350483,5.179876037933752,0.5655861550058938
train_leave_profile_out,train_leave_profile_out_P-V02,P-V02,B8_student_t_robust_imm,imm_student_t_robust_observation,7,7,3.1299701678176026,4.1171584113692195,3.0360389880745835,0.8125829068629409
train_leave_profile_out,train_leave_profile_out_P-V02,P-V02,B7_two_regime_imm,imm_damped_acceleration,7,7,3.32415274432109,4.410252525434949,3.2499582615532896,0.7849492517856513
train_leave_profile_out,train_leave_profile_out_P-V02,P-V02,B5_fixed_kalman,fixed_kalman,7,7,4.317745524359564,5.239308378791979,4.317745524359564,0.6964977146305416
train_leave_profile_out,train_leave_profile_out_P-V02,P-V02,B6_adaptive_kalman,adaptive_kalman,7,7,4.48866773300417,5.400469990231213,4.48866773300417,0.6775390289676455
train_leave_profile_out,train_leave_profile_out_P-V02,P-V02,B1_persistence_last_rate,persistence,7,7,6.127398821914277,6.9914035984507645,6.127398821914277,0.4595658419812828
train_leave_profile_out,train_leave_profile_out_P-V03,P-V03,B5_fixed_kalman,fixed_kalman,7,7,1.8838546340397921,2.3752148862264204,-0.293443492322618,0.9583115554170949
train_leave_profile_out,train_leave_profile_out_P-V03,P-V03,B6_adaptive_kalman,adaptive_kalman,7,7,1.900542712211437,2.4174429575013803,-0.4483024417341204,0.956816051517793
train_leave_profile_out,train_leave_profile_out_P-V03,P-V03,B1_persistence_last_rate,persistence,7,7,1.9828079130407759,2.932082003737992,-1.4624813963876466,0.9364724504621686
train_leave_profile_out,train_leave_profile_out_P-V03,P-V03,B8_student_t_robust_imm,imm_student_t_robust_observation,7,7,2.17458795191327,2.5997744108781493,-0.3720479801448937,0.9500562430697139
train_leave_profile_out,train_leave_profile_out_P-V03,P-V03,B7_two_regime_imm,imm_damped_acceleration,7,7,2.2300070760734028,2.628717195010783,-0.32466047757746536,0.9489380247594067
train_leave_profile_out,train_leave_profile_out_P-V04,P-V04,B8_student_t_robust_imm,imm_student_t_robust_observation,7,7,1.9217093615580905,2.4688280166248524,1.9217093615580905,0.9549763663601151
train_leave_profile_out,train_leave_profile_out_P-V04,P-V04,B7_two_regime_imm,imm_damped_acceleration,7,7,1.9328153957324243,2.486362049951692,1.9328153957324243,0.9543345644392045
train_leave_profile_out,train_leave_profile_out_P-V04,P-V04,B6_adaptive_kalman,adaptive_kalman,7,7,3.3109211526246556,3.8276161705556637,3.3109211526246556,0.8917779817552649
train_leave_profile_out,train_leave_profile_out_P-V04,P-V04,B5_fixed_kalman,fixed_kalman,7,7,3.414860840439995,3.935824921885448,3.414860840439995,0.88557249982875
train_leave_profile_out,train_leave_profile_out_P-V04,P-V04,B1_persistence_last_rate,persistence,7,7,4.908045318122463,5.305343869552271,4.908045318122463,0.7920849418637039
train_leave_profile_out,train_leave_profile_out_P-V05,P-V05,B1_persistence_last_rate,persistence,4,4,3.8860783207142897,4.241834417021837,2.8647488492855877,0.6867097690440165
train_leave_profile_out,train_leave_profile_out_P-V05,P-V05,B5_fixed_kalman,fixed_kalman,4,4,3.961377054809384,4.301171720432642,2.9827878724892556,0.6778834838933304
train_leave_profile_out,train_leave_profile_out_P-V05,P-V05,B6_adaptive_kalman,adaptive_kalman,4,4,4.051057093258192,4.395399738651719,3.0407979337862785,0.663615337488979
train_leave_profile_out,train_leave_profile_out_P-V05,P-V05,B8_student_t_robust_imm,imm_student_t_robust_observation,4,4,4.411891468642715,4.7212298598830476,3.3133540583185037,0.6118945689081363
train_leave_profile_out,train_leave_profile_out_P-V05,P-V05,B7_two_regime_imm,imm_damped_acceleration,4,4,4.412825153563473,4.724266303357549,3.3179023557187075,0.6113951909070445
train_leave_profile_out,train_leave_profile_out_P-V06,P-V06,B1_persistence_last_rate,persistence,7,7,2.810858850028585,3.7891889739094378,1.1243022876040842,0.8087983948261553
train_leave_profile_out,train_leave_profile_out_P-V06,P-V06,B8_student_t_robust_imm,imm_student_t_robust_observation,7,7,3.328794314913865,4.180087987438559,2.967201143614471,0.7673142158757791
train_leave_profile_out,train_leave_profile_out_P-V06,P-V06,B7_two_regime_imm,imm_damped_acceleration,7,7,3.3490567518068155,4.181344247858436,2.9489695045335926,0.7671743346737825
train_leave_profile_out,train_leave_profile_out_P-V06,P-V06,B6_adaptive_kalman,adaptive_kalman,7,7,3.8925004258660407,4.591535700182121,1.9857337361742502,0.7192531223225576
train_leave_profile_out,train_leave_profile_out_P-V06,P-V06,B5_fixed_kalman,fixed_kalman,7,7,4.557883741378636,5.625651312331431,1.4895178460986505,0.5785513909479465
