design,fold_id,held_out_group,model_id,family,train_rows,validation_rows,selected_q_base,selected_acceleration_gain,n,mae,rmse,bias,r2
leave_profile_out,leave_profile_out_P-H06,P-H06,B5_fixed_kalman,fixed_kalman,855,6,,,6,2.483715318306608,2.965747576153927,-1.4045352210120194,-2.4503268648267276
leave_profile_out,leave_profile_out_P-H06,P-H06,B6_adaptive_kalman,adaptive_kalman,855,6,10.0,0.0,6,2.378824570736908,2.8353867821400214,-1.3808046617760539,-2.1536717828577308
leave_profile_out,leave_profile_out_P-H07,P-H07,B1_persistence_last_rate,persistence,867,7,,,7,4.232733060290239,4.891230944073245,-4.232733060290239,0.8363608964225959
leave_profile_out,leave_profile_out_P-H07,P-H07,B5_fixed_kalman,fixed_kalman,867,7,,,7,3.6724208766852824,4.038696238932883,-3.2252656335045886,0.8884336734144272
leave_profile_out,leave_profile_out_P-H07,P-H07,B6_adaptive_kalman,adaptive_kalman,867,7,10.0,0.0,7,3.547823296441495,3.9136338250745286,-3.051211445471099,0.8952362267886635
leave_profile_out,leave_profile_out_P-V01,P-V01,B1_persistence_last_rate,persistence,840,6,,,6,2.0691901748545094,3.1400543524203037,-1.4900751281877969,0.5875631147351201
leave_profile_out,leave_profile_out_P-V01,P-V01,B5_fixed_kalman,fixed_kalman,840,6,,,6,2.226842145749975,2.6746919543525856,-0.48228548559843004,0.7007523765664461
leave_profile_out,leave_profile_out_P-V01,P-V01,B6_adaptive_kalman,adaptive_kalman,840,6,10.0,0.0,6,1.9425703275991264,2.4533887945603934,-0.6453692732468527,0.7482230767363054
leave_profile_out,leave_profile_out_P-V02,P-V02,B1_persistence_last_rate,persistence,837,7,,,7,3.9350261225850334,4.6148744472766285,1.4355642465305936,0.7003576897041726
leave_profile_out,leave_profile_out_P-V02,P-V02,B5_fixed_kalman,fixed_kalman,837,7,,,7,4.031205004325558,5.059506964527293,3.1940731577965398,0.6398364545322606
leave_profile_out,leave_profile_out_P-V02,P-V02,B6_adaptive_kalman,adaptive_kalman,837,7,25.0,0.0,7,3.8390538150172864,4.762599781127119,2.4147481519296097,0.6808671342460837
leave_profile_out,leave_profile_out_P-V03,P-V03,B1_persistence_last_rate,persistence,848,7,,,7,3.213018183095235,4.218451985951987,-2.737669336746126,0.8763202984346978
leave_profile_out,leave_profile_out_P-V03,P-V03,B5_fixed_kalman,fixed_kalman,848,7,,,7,2.9392503106018695,3.9964423495183965,-2.827835370374909,0.888995825157433
leave_profile_out,leave_profile_out_P-V03,P-V03,B6_adaptive_kalman,adaptive_kalman,848,7,10.0,0.0,7,2.8763685561846146,3.915508985448486,-2.8078138577419978,0.8934462698457739
leave_profile_out,leave_profile_out_P-V04,P-V04,B1_persistence_last_rate,persistence,856,7,,,7,4.3818832497346785,4.6959968422378,-3.85118209937188,0.7457453380826045
leave_profile_out,leave_profile_out_P-V04,P-V04,B5_fixed_kalman,fixed_kalman,856,7,,,7,3.310040545656537,3.584718817821297,-1.7698789320139343,0.8518425400829596
leave_profile_out,leave_profile_out_P-V04,P-V04,B6_adaptive_kalman,adaptive_kalman,856,7,25.0,0.0,7,3.4202960794213553,3.62447990914756,-2.233444848876939,0.8485376377804135
leave_profile_out,leave_profile_out_P-V05,P-V05,B1_persistence_last_rate,persistence,860,4,,,4,3.7750755396429447,3.900312506830446,-1.664112013214341,-0.25808920732422624
leave_profile_out,leave_profile_out_P-V05,P-V05,B5_fixed_kalman,fixed_kalman,860,4,,,4,2.990692817152579,3.1500756541853248,-1.0846625390501639,0.17935638682442812
leave_profile_out,leave_profile_out_P-V05,P-V05,B6_adaptive_kalman,adaptive_kalman,860,4,10.0,0.0,4,2.94256027498507,3.0895234798841322,-1.1208508246744544,0.21060271983219303
leave_profile_out,leave_profile_out_P-V06,P-V06,B1_persistence_last_rate,persistence,850,7,,,7,3.2120303168594013,4.252093131946639,-2.509532310351469,0.700069627378636
leave_profile_out,leave_profile_out_P-V06,P-V06,B5_fixed_kalman,fixed_kalman,850,7,,,7,2.9017019417281613,3.761360732313928,-1.8286095436561511,0.7653044347117232
leave_profile_out,leave_profile_out_P-V06,P-V06,B6_adaptive_kalman,adaptive_kalman,850,7,10.0,0.0,7,2.7887838420992908,3.6606522347133255,-1.569580529471379,0.7777038937042975
leave_zone_out,leave_zone_out_GEO_NE,GEO_NE,B1_persistence_last_rate,persistence,596,35,,,35,6.235849199919468,10.589337298281313,-4.014647060469098,0.7215534513986785
leave_zone_out,leave_zone_out_GEO_NE,GEO_NE,B5_fixed_kalman,fixed_kalman,596,35,,,35,5.508923269405597,10.2567428123673,-3.362096446910398,0.7387699060268044
leave_zone_out,leave_zone_out_GEO_NE,GEO_NE,B6_adaptive_kalman,adaptive_kalman,596,35,25.0,0.0,35,5.6435658906351245,10.274214607344685,-3.513558622321508,0.737879165930559
leave_zone_out,leave_zone_out_GEO_NW,GEO_NW,B1_persistence_last_rate,persistence,829,8,,,8,3.8452930532143186,4.298103473312663,-1.6457894380555937,0.8804947485896889
leave_zone_out,leave_zone_out_GEO_NW,GEO_NW,B5_fixed_kalman,fixed_kalman,829,8,,,8,3.344306978237298,4.082677363177541,-0.6415420549272381,0.8921740288503041
leave_zone_out,leave_zone_out_GEO_NW,GEO_NW,B6_adaptive_kalman,adaptive_kalman,829,8,25.0,0.0,8,3.548380726081213,4.199177724474518,-1.019252996718634,0.8859325406170142
leave_zone_out,leave_zone_out_GEO_SE,GEO_SE,B1_persistence_last_rate,persistence,819,13,,,13,5.16887152614395,6.508944744987142,3.434866371365217,0.9744060123098738
leave_zone_out,leave_zone_out_GEO_SE,GEO_SE,B5_fixed_kalman,fixed_kalman,819,13,,,13,6.311124152531767,7.546364847401679,3.5643203545908317,0.9655973114354851
leave_zone_out,leave_zone_out_GEO_SE,GEO_SE,B6_adaptive_kalman,adaptive_kalman,819,13,10.0,0.0,13,5.954824109990266,6.959423841534981,3.8915145724622255,0.9707407385000804
leave_zone_out,leave_zone_out_GEO_SW,GEO_SW,B1_persistence_last_rate,persistence,489,74,,,74,8.570370694679996,12.363446549379725,-3.8780656738692683,0.943017692127605
leave_zone_out,leave_zone_out_GEO_SW,GEO_SW,B5_fixed_kalman,fixed_kalman,489,74,,,74,10.04153171220918,15.874597318686659,-5.087589843501628,0.9060565816613473
leave_zone_out,leave_zone_out_GEO_SW,GEO_SW,B6_adaptive_kalman,adaptive_kalman,489,74,2.0,0.0,74,10.667008701353822,17.750134392249294,-5.818192294984523,0.8825469727427251
