design,model_id,scope,segment,rows,points,profiles,n,mae,rmse,bias,r2,reference_b1_mae,improvement_vs_b1_percent
leave_profile_out,B1_persistence_last_rate,all,all,130,90,14,130,7.31092175130067,11.071272766527729,-3.0461735358418554,0.9422866223175526,7.31092175130067,0.0
leave_profile_out,B6_adaptive_kalman,all,all,130,90,14,130,7.311447665392591,11.792694062673835,-2.8108890145321412,0.9345201834075664,7.31092175130067,-0.007193540155553809
leave_profile_out,B5_fixed_kalman,all,all,130,90,14,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477,7.31092175130067,-9.918238290922966
leave_profile_out,B1_persistence_last_rate,mechanism,accelerating,18,15,6,18,15.491772248984017,20.43526131497341,-13.752420967626026,0.844055540362403,15.491772248984017,0.0
leave_profile_out,B6_adaptive_kalman,mechanism,accelerating,18,15,6,18,17.46275694418471,23.285678594415394,-16.544733146851172,0.7975175644464028,15.491772248984017,-12.722783833398767
leave_profile_out,B5_fixed_kalman,mechanism,accelerating,18,15,6,18,22.229338612528753,28.540309462991008,-21.499933526224837,0.6958226203207565,15.491772248984017,-43.49125623110423
leave_profile_out,B6_adaptive_kalman,mechanism,decelerating,12,12,5,12,3.8585872583821494,4.868122871303044,0.7755456691576674,0.9786477139607288,4.790889962941637,19.45990644266535
leave_profile_out,B5_fixed_kalman,mechanism,decelerating,12,12,5,12,3.863414807468312,4.895136549738419,1.6167700550884456,0.9784100847250442,4.790889962941637,19.359141258670217
leave_profile_out,B1_persistence_last_rate,mechanism,decelerating,12,12,5,12,4.790889962941637,5.9497097943906025,-3.4059422419800054,0.9681057141695147,4.790889962941637,0.0
leave_profile_out,B5_fixed_kalman,mechanism,stable,86,75,14,86,4.713797536268069,5.760865662777945,0.1711885919928402,0.9691000155489032,5.275722102237933,10.651140357288698
leave_profile_out,B6_adaptive_kalman,mechanism,stable,86,75,14,86,4.744092193014879,5.827553545801503,0.08581568590300649,0.9683804772862129,5.275722102237933,10.07691267509218
leave_profile_out,B1_persistence_last_rate,mechanism,stable,86,75,14,86,5.275722102237933,6.430175168704921,-0.4149542167415248,0.9615028683046921,5.275722102237933,0.0
leave_profile_out,B1_persistence_last_rate,mechanism,volatile_or_gap,14,14,9,14,11.454653345686612,17.802605156749628,-5.135829478474392,0.8734384362928086,11.454653345686612,0.0
leave_profile_out,B6_adaptive_kalman,mechanism,volatile_or_gap,14,14,9,14,12.990256843274755,19.11208532133984,-6.021219447386272,0.8541350781603212,11.454653345686612,-13.405936009110158
leave_profile_out,B5_fixed_kalman,mechanism,volatile_or_gap,14,14,9,14,13.772076436235372,19.64022104186476,-7.148275142222854,0.845962147592344,11.454653345686612,-20.231280865617926
leave_profile_out,B5_fixed_kalman,stable_vs_transition,stable,86,75,14,86,4.713797536268069,5.760865662777945,0.1711885919928402,0.9691000155489032,5.275722102237933,10.651140357288698
leave_profile_out,B6_adaptive_kalman,stable_vs_transition,stable,86,75,14,86,4.744092193014879,5.827553545801503,0.08581568590300649,0.9683804772862129,5.275722102237933,10.07691267509218
leave_profile_out,B1_persistence_last_rate,stable_vs_transition,stable,86,75,14,86,5.275722102237933,6.430175168704921,-0.4149542167415248,0.9615028683046921,5.275722102237933,0.0
leave_profile_out,B1_persistence_last_rate,stable_vs_transition,transition,44,34,10,44,11.28881197446874,16.77297972863165,-8.189011295901594,0.8988475370528807,11.28881197446874,0.0
leave_profile_out,B6_adaptive_kalman,stable_vs_transition,transition,44,34,10,44,12.329460634130847,18.560833405408943,-8.472630019928115,0.8761343280363342,11.28881197446874,-9.218407233778743
leave_profile_out,B5_fixed_kalman,stable_vs_transition,transition,44,34,10,44,14.529503245964376,21.505692192836158,-10.628941245502402,0.8337112500163977,11.28881197446874,-28.707106459252955
leave_zone_out,B1_persistence_last_rate,all,all,130,90,14,130,7.31092175130067,11.071272766527729,-3.046173535841856,0.9422866223175526,7.31092175130067,0.0
leave_zone_out,B5_fixed_kalman,all,all,130,90,14,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477,7.31092175130067,-9.918238290922966
leave_zone_out,B6_adaptive_kalman,all,all,130,90,14,130,8.405255456237965,14.618287109978947,-3.9314239703219047,0.8993823046826815,7.31092175130067,-14.968477876850542
leave_zone_out,B1_persistence_last_rate,mechanism,accelerating,20,14,5,20,13.137916856313,17.620939901325347,-9.995027395270972,0.9048379913124871,13.137916856313,0.0
leave_zone_out,B5_fixed_kalman,mechanism,accelerating,20,14,5,20,18.974387455826133,25.609585136110088,-17.268529529616583,0.7989932938548175,13.137916856313,-44.42462730846562
leave_zone_out,B6_adaptive_kalman,mechanism,accelerating,20,14,5,20,21.766422999236493,29.74963670657953,-20.325276901846543,0.7287505951960225,13.137916856313,-65.67636435282618
leave_zone_out,B5_fixed_kalman,mechanism,decelerating,15,15,5,15,4.006911260889595,5.023949069172059,0.37723662915581213,0.9741418958710895,5.202691767167579,22.983881417387607
leave_zone_out,B6_adaptive_kalman,mechanism,decelerating,15,15,5,15,4.014491822189699,5.0303377112281265,1.5167813650578306,0.9740760897869324,5.202691767167579,22.83817681601294
leave_zone_out,B1_persistence_last_rate,mechanism,decelerating,15,15,5,15,5.202691767167579,6.272652507130041,-4.094733590398276,0.9596903820330676,5.202691767167579,0.0
