tuning_context,candidate_key,q_base,acceleration_gain,inner_fold_id,train_rows,validation_rows,train_target_date_max,validation_target_date_min,validation_target_date_max,train_sample_ids_sha256,validation_sample_ids_sha256,n,mae,rmse,bias,r2,candidate_aggregate_mae,candidate_aggregate_rmse,selected
outer::leave_profile_out_P-H01,q=400|gain=0.25,400.0,0.25,rolling_03,765,81,2023-07-25,2023-11-07,2023-11-07,926757ff3157b5555a6c9ecebb1aab6df12033b656e51d94ca6f41a861c29c17,d2cf4b4b0ef1d791e5497a9c41e123c0521da859cd120707105f0525ec21f206,81,6.610778211197846,10.710117292555374,1.7131170987183264,0.9040379266777996,7.5346333668166725,11.8927885208668,False
outer::leave_profile_out_P-H01,q=2|gain=0.5,2.0,0.5,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,c9525895a91106a8c998690f582a6b91497961a2b78ebf568d7c0b489720f03d,2964a5e07e5fa284ac3e3c000c499f27ab6b91243844798da0ab5a7ef25c6c1c,81,6.498276977083671,9.056328557891643,-0.9579744800122122,0.8829777668787917,7.592655947869824,12.275160801538135,False
outer::leave_profile_out_P-H01,q=2|gain=0.5,2.0,0.5,rolling_02,751,14,2023-05-16,2023-07-25,2023-07-25,a57d32ed4b0363793a37eb8bd493f00115110d0aa1281def0bf2ac8da08e39aa,eee99ecbe76acf0c2c4a815bd89561498ad4893f0703a5e098d5d541405fbae9,14,15.26435774172526,22.645907250698233,-13.719462732683802,0.6644519793885086,7.592655947869824,12.275160801538135,False
outer::leave_profile_out_P-H01,q=2|gain=0.5,2.0,0.5,rolling_03,765,81,2023-07-25,2023-11-07,2023-11-07,926757ff3157b5555a6c9ecebb1aab6df12033b656e51d94ca6f41a861c29c17,d2cf4b4b0ef1d791e5497a9c41e123c0521da859cd120707105f0525ec21f206,81,7.361061769100717,12.519861327333471,-0.1564625065823798,0.868867540873686,7.592655947869824,12.275160801538135,False
outer::leave_profile_out_P-H01,q=100|gain=0.5,100.0,0.5,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,c9525895a91106a8c998690f582a6b91497961a2b78ebf568d7c0b489720f03d,2964a5e07e5fa284ac3e3c000c499f27ab6b91243844798da0ab5a7ef25c6c1c,81,8.6061229746732,12.708670627594532,0.42543412551008686,0.7695565918200596,8.14500847682511,12.360764774784641,False
outer::leave_profile_out_P-H01,q=100|gain=0.5,100.0,0.5,rolling_02,751,14,2023-05-16,2023-07-25,2023-07-25,a57d32ed4b0363793a37eb8bd493f00115110d0aa1281def0bf2ac8da08e39aa,eee99ecbe76acf0c2c4a815bd89561498ad4893f0703a5e098d5d541405fbae9,14,12.544874169817824,17.43283723193828,-11.642407385535112,0.8011565071928102,8.14500847682511,12.360764774784641,False
outer::leave_profile_out_P-H01,q=100|gain=0.5,100.0,0.5,rolling_03,765,81,2023-07-25,2023-11-07,2023-11-07,926757ff3157b5555a6c9ecebb1aab6df12033b656e51d94ca6f41a861c29c17,d2cf4b4b0ef1d791e5497a9c41e123c0521da859cd120707105f0525ec21f206,81,6.923423365373343,10.860387068643258,1.9635734702899899,0.9013262175208249,8.14500847682511,12.360764774784641,False
outer::leave_profile_out_P-H01,q=400|gain=0.5,400.0,0.5,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,c9525895a91106a8c998690f582a6b91497961a2b78ebf568d7c0b489720f03d,2964a5e07e5fa284ac3e3c000c499f27ab6b91243844798da0ab5a7ef25c6c1c,81,9.07899221425477,13.731172241265677,0.7325909990144011,0.7309832813169588,8.549671098907355,13.02552987234614,False
outer::leave_profile_out_P-H01,q=400|gain=0.5,400.0,0.5,rolling_02,751,14,2023-05-16,2023-07-25,2023-07-25,a57d32ed4b0363793a37eb8bd493f00115110d0aa1281def0bf2ac8da08e39aa,eee99ecbe76acf0c2c4a815bd89561498ad4893f0703a5e098d5d541405fbae9,14,12.692388737526498,17.553963799590075,-11.731001257890073,0.7983837050641651,8.549671098907355,13.02552987234614,False
outer::leave_profile_out_P-H01,q=400|gain=0.5,400.0,0.5,rolling_03,765,81,2023-07-25,2023-11-07,2023-11-07,926757ff3157b5555a6c9ecebb1aab6df12033b656e51d94ca6f41a861c29c17,d2cf4b4b0ef1d791e5497a9c41e123c0521da859cd120707105f0525ec21f206,81,7.304324712687496,11.262745316055641,2.3594282314832666,0.8938794002992994,8.549671098907355,13.02552987234614,False
