vn_id,cat_id
EV-VN-S004-0063,MON-0178
EV-VN-S004-0067,MON-0179
EV-VN-S005-0004,MON-0180
EV-VN-S005-0005,MON-0181
EV-VN-S005-0024,MON-0182
EV-VN-S006-0019,MON-0183
EV-VN-S006-0033,MON-0184
EV-VN-S006-0035,MON-0185
EV-VN-S006-0036,MON-0186
EV-VN-S006-0037,MON-0187
EV-VN-S006-0124,MON-0188
EV-VN-S006-0184,MON-0189
EV-VN-S006-0187,MON-0190
EV-VN-S006-0188,MON-0191
EV-VN-S006-0196,MON-0192
EV-VN-S007-0002,MON-0193
EV-VN-S007-0012,MON-0194
EV-VN-S007-0016,MON-0195
EV-VN-S007-0025,MON-0196
EV-VN-S007-0026,MON-0197
EV-VN-S008-0009,MON-0198
EV-VN-S008-0012,MON-0199
EV-VN-S008-0016,MON-0200
EV-VN-S009-0012,MON-0201
EV-VN-S009-0016,MON-0202
EV-VN-S009-0018,MON-0203
EV-VN-S009-0020,MON-0204
EV-VN-S009-0022,MON-0205
EV-VN-S009-0024,MON-0206
EV-VN-S009-0025,MON-0207
EV-VN-S009-0027,MON-0208
EV-VN-S009-0035,MON-0209
EV-VN-S009-0037,MON-0210
EV-VN-S009-0038,MON-0211
EV-VN-S009-0039,MON-0212
EV-VN-S009-0040,MON-0213
EV-VN-S009-0041,MON-0214
EV-VN-S009-0042,MON-0215
EV-VN-S010-0007,MON-0216
EV-VN-S010-0008,MON-0217
EV-VN-S010-0010,MON-0218
EV-VN-S010-0013,MON-0219
EV-VN-S017-0008,MON-0220
EV-VN-S023-0045,MON-0221
EV-VN-S023-0048,MON-0222
EV-VN-S023-0065,MON-0223
EV-VN-S023-0067,MON-0224
EV-VN-S023-0471,MON-0225
EV-VN-S023-0472,MON-0226
EV-VN-S017-0003,MON-0227
EV-VN-S017-0009,MON-0228
EV-VN-S017-0017,MON-0229
EV-VN-S017-0021,MON-0230
EV-VN-S017-0023,MON-0231
EV-VN-S017-0026,MON-0232
EV-VN-S017-0028,MON-0233
EV-VN-S017-0030,MON-0234
EV-VN-S017-0031,MON-0235
EV-VN-S017-0033,MON-0236
EV-VN-S017-0035,MON-0237
EV-VN-S017-0037,MON-0238
EV-VN-S017-0038,MON-0239
EV-VN-S017-0039,MON-0240
EV-VN-S017-0040,MON-0241
EV-VN-S017-0041,MON-0242
EV-VN-S017-0046,MON-0243
EV-VN-S019-0035,MON-0244
EV-VN-S024-0113,MON-0245
EV-VN-S024-0143,MON-0246
EV-VN-S024-0145,MON-0247
EV-VN-S024-0149,MON-0248
EV-VN-S024-0150,MON-0249
EV-VN-S024-0153,MON-0250
EV-VN-S024-0156,MON-0251
EV-VN-S024-0161,MON-0252
EV-VN-S024-0164,MON-0253
EV-VN-S024-0166,MON-0254
EV-VN-S024-0173,MON-0255
EV-VN-S024-0177,MON-0256
EV-VN-S024-0188,MON-0257
EV-VN-S024-0200,MON-0258
EV-VN-S024-0210,MON-0259
EV-VN-S034-0006,MON-0260
EV-VN-S034-0015,MON-0261
EV-VN-S024-0148,MON-0262
EV-VN-S024-0157,MON-0263
EV-VN-S024-0169,MON-0264
EV-VN-S024-0220,MON-0265
EV-VN-S024-0221,MON-0266
EV-VN-S024-0222,MON-0267
EV-VN-S024-0223,MON-0268
EV-VN-S024-0224,MON-0269
EV-VN-S024-0225,MON-0270
EV-VN-S024-0226,MON-0271
EV-VN-S024-0227,MON-0272
EV-VN-S024-0228,MON-0273
EV-VN-S024-0455,MON-0274
EV-VN-S024-0456,MON-0275
EV-VN-S024-0457,MON-0276
EV-VN-S024-0461,MON-0277
EV-VN-S034-0004,MON-0278
EV-VN-S034-0040,MON-0279
EV-VN-S034-0016,MON-0280
EV-VN-S011-1453,MON-0281
EV-VN-S015-0018,MON-0282
EV-VN-S015-0024,MON-0283
EV-VN-S015-0025,MON-0284
EV-VN-S015-0029,MON-0285
EV-VN-S015-0034,MON-0286
EV-VN-S015-0036,MON-0287
EV-VN-S015-0039,MON-0288
EV-VN-S015-0043,MON-0289
EV-VN-S015-0044,MON-0290
