id,source_id,locator,line,method,interval_start,interval_end,x_label_as_printed,value_mm,digitization_status,digitization_uncertainty_mm,status,scope,evidence_note,position_index,reading_origin,raster_x_px,raster_y_px,legacy_point_id
OBS-MUS-P15-1-LEVELLING-017,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,0.3,-14.9,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,3,atlas_digitization,238.269,103.5,SUP01-P1-LEVELING-2015_2016-003
OBS-MUS-P15-1-LEVELLING-018,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,0.4,-14.9,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,4,atlas_digitization,293.654,103.5,SUP01-P1-LEVELING-2015_2016-004
OBS-MUS-P15-1-LEVELLING-019,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,0.5,-14.9,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,5,atlas_digitization,349.038,103.5,SUP01-P1-LEVELING-2015_2016-005
OBS-MUS-P15-1-LEVELLING-020,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,0.6,-24.5,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,6,atlas_digitization,404.423,111.5,SUP01-P1-LEVELING-2015_2016-006
OBS-MUS-P15-1-LEVELLING-021,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,0.7,-28.1,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,7,atlas_digitization,459.808,114.5,SUP01-P1-LEVELING-2015_2016-007
OBS-MUS-P15-1-LEVELLING-022,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,0.8,-35.2,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,8,atlas_digitization,515.192,120.5,SUP01-P1-LEVELING-2015_2016-008
OBS-MUS-P15-1-LEVELLING-023,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,0.9,-49.6,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,9,atlas_digitization,570.577,132.5,SUP01-P1-LEVELING-2015_2016-009
OBS-MUS-P15-1-LEVELLING-024,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,1,-53.1,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,10,atlas_digitization,625.962,135.5,SUP01-P1-LEVELING-2015_2016-010
OBS-MUS-P15-1-LEVELLING-025,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,1.1,-63.3,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,11,atlas_digitization,681.346,144,SUP01-P1-LEVELING-2015_2016-011
OBS-MUS-P15-1-LEVELLING-026,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,1.2,-67.5,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,12,atlas_digitization,736.731,147.5,SUP01-P1-LEVELING-2015_2016-012
OBS-MUS-P15-1-LEVELLING-027,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,1.3,-69.9,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,13,atlas_digitization,792.115,149.5,SUP01-P1-LEVELING-2015_2016-013
OBS-MUS-P15-1-LEVELLING-028,VKM-SRC-002,PDF p.15,1,levelling,2015,2016,1.4,-69.9,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,14,atlas_digitization,847.5,149.5,SUP01-P1-LEVELING-2015_2016-014
OBS-MUS-P15-1-INSAR-001,VKM-SRC-002,PDF p.15,1,insar,2011,2016,0,-15.5,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,1,atlas_digitization,127.5,104,SUP01-P1-RADAR-2011_2016-001
OBS-MUS-P15-1-INSAR-002,VKM-SRC-002,PDF p.15,1,insar,2011,2016,0.2,-18.5,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,2,atlas_digitization,182.885,106.5,SUP01-P1-RADAR-2011_2016-002
