tuning_context,candidate_key,inner_fold_id,train_rows,validation_rows,problem_transition_rows,train_target_date_max,validation_target_date_min,validation_target_date_max,train_sample_ids_sha256,validation_sample_ids_sha256,inner_acceleration_threshold,inner_volatility_threshold,overall_mae,b1_overall_mae,problem_transition_mae,b1_problem_transition_mae,q_stable,q_transition,p_stable_stay,p_transition_stay,candidate_overall_mae,candidate_b1_overall_mae,candidate_overall_normalized_mae,candidate_problem_transition_rows,candidate_problem_transition_mae,candidate_b1_problem_transition_mae,candidate_problem_transition_normalized_mae,candidate_tuning_score,selected
calibration::rolling_01,qs=2|qt=200|ps=0.99|pt=0.75,rolling_02,517,89,10,2022-03-01,2022-05-17,2022-05-17,a011adf1e06a16e2d6f28273ea336ab37be80c12dec3b0e8852a9d4368e43686,9f0b166aa2b85e719b5d3dd47396baf087815cb3ef5bd38d5cb403d89810b02a,22.866372036,5.6396890292,4.0713496477128945,4.48333068176607,8.999503616471209,10.166878618597266,2.0,200.0,0.99,0.75,4.912134446930461,5.511659980307867,0.8912259581470194,19,9.347788571438175,11.399879116870466,0.8199901486327656,0.8556080533898925,False
calibration::rolling_01,qs=2|qt=200|ps=0.99|pt=0.75,rolling_03,606,13,8,2022-05-17,2022-07-19,2022-07-19,86c954c2318fe1b55fc3de1f47a295a62ccefb2a6e9db4874af601f6ac0eeffd,1f4f2c9b9b1a9898627a6b744dae606625335b963d8397027c1dc5a4a578b4ac,21.921085,5.585402992,11.343824852138766,12.234021875457897,10.856246781381234,11.8220701594941,2.0,200.0,0.99,0.75,4.912134446930461,5.511659980307867,0.8912259581470194,19,9.347788571438175,11.399879116870466,0.8199901486327656,0.8556080533898925,False
calibration::rolling_01,qs=2|qt=200|ps=0.97|pt=0.9,rolling_01,503,14,1,2021-11-02,2022-03-01,2022-03-01,39aa646abc71af790b5651b8d371ac3c5da9fc850975ea1f0e8eec1efe1ac7db,9400eab919178645d0c73e6bb3aa0c337b1fad589dd35096e9a2f2224f92f670,22.91385913,5.678972235800001,4.145550692173679,5.806703046969975,0.6252115786152501,20.352355758613356,2.0,200.0,0.97,0.9,4.946569201957331,5.511659980307867,0.8974735777661359,19,9.313467787057373,11.399879116870466,0.816979521587606,0.857226549676871,False
calibration::rolling_01,qs=2|qt=200|ps=0.97|pt=0.9,rolling_02,517,89,10,2022-03-01,2022-05-17,2022-05-17,a011adf1e06a16e2d6f28273ea336ab37be80c12dec3b0e8852a9d4368e43686,9f0b166aa2b85e719b5d3dd47396baf087815cb3ef5bd38d5cb403d89810b02a,22.866372036,5.6396890292,4.091849585378701,4.48333068176607,8.677658546170184,10.166878618597266,2.0,200.0,0.97,0.9,4.946569201957331,5.511659980307867,0.8974735777661359,19,9.313467787057373,11.399879116870466,0.816979521587606,0.857226549676871,False
calibration::rolling_01,qs=2|qt=200|ps=0.97|pt=0.9,rolling_03,606,13,8,2022-05-17,2022-07-19,2022-07-19,86c954c2318fe1b55fc3de1f47a295a62ccefb2a6e9db4874af601f6ac0eeffd,1f4f2c9b9b1a9898627a6b744dae606625335b963d8397027c1dc5a4a578b4ac,21.921085,5.585402992,11.66074651060881,12.234021875457897,11.194261364221624,11.8220701594941,2.0,200.0,0.97,0.9,4.946569201957331,5.511659980307867,0.8974735777661359,19,9.313467787057373,11.399879116870466,0.816979521587606,0.857226549676871,False
calibration::rolling_01,qs=0.5|qt=200|ps=0.97|pt=0.9,rolling_01,503,14,1,2021-11-02,2022-03-01,2022-03-01,39aa646abc71af790b5651b8d371ac3c5da9fc850975ea1f0e8eec1efe1ac7db,9400eab919178645d0c73e6bb3aa0c337b1fad589dd35096e9a2f2224f92f670,22.91385913,5.678972235800001,4.16175503082338,5.806703046969975,0.6259533272544786,20.352355758613356,0.5,200.0,0.97,0.9,4.9501825500850085,5.511659980307867,0.8981291603203186,19,9.314260347364227,11.399879116870466,0.8170490451587534,0.857589102739536,False
calibration::rolling_01,qs=0.5|qt=200|ps=0.97|pt=0.9,rolling_02,517,89,10,2022-03-01,2022-05-17,2022-05-17,a011adf1e06a16e2d6f28273ea336ab37be80c12dec3b0e8852a9d4368e43686,9f0b166aa2b85e719b5d3dd47396baf087815cb3ef5bd38d5cb403d89810b02a,22.866372036,5.6396890292,4.0955588725607175,4.48333068176607,8.69695032308155,10.166878618597266,0.5,200.0,0.97,0.9,4.9501825500850085,5.511659980307867,0.8981291603203186,19,9.314260347364227,11.399879116870466,0.8170490451587534,0.857589102739536,False
calibration::rolling_01,qs=0.5|qt=200|ps=0.97|pt=0.9,rolling_03,606,13,8,2022-05-17,2022-07-19,2022-07-19,86c954c2318fe1b55fc3de1f47a295a62ccefb2a6e9db4874af601f6ac0eeffd,1f4f2c9b9b1a9898627a6b744dae606625335b963d8397027c1dc5a4a578b4ac,21.921085,5.585402992,11.650143516956145,12.234021875457897,11.171936255231293,11.8220701594941,0.5,200.0,0.97,0.9,4.9501825500850085,5.511659980307867,0.8981291603203186,19,9.314260347364227,11.399879116870466,0.8170490451587534,0.857589102739536,False
calibration::rolling_01,qs=2|qt=200|ps=0.99|pt=0.9,rolling_01,503,14,1,2021-11-02,2022-03-01,2022-03-01,39aa646abc71af790b5651b8d371ac3c5da9fc850975ea1f0e8eec1efe1ac7db,9400eab919178645d0c73e6bb3aa0c337b1fad589dd35096e9a2f2224f92f670,22.91385913,5.678972235800001,4.32641979796317,5.806703046969975,0.7267970680658067,20.352355758613356,2.0,200.0,0.99,0.9,4.984623730198562,5.511659980307867,0.9043779456656784,19,9.394971981147956,11.399879116870466,0.8241290881097603,0.8642535168877193,False
calibration::rolling_01,qs=2|qt=200|ps=0.99|pt=0.9,rolling_02,517,89,10,2022-03-01,2022-05-17,2022-05-17,a011adf1e06a16e2d6f28273ea336ab37be80c12dec3b0e8852a9d4368e43686,9f0b166aa2b85e719b5d3dd47396baf087815cb3ef5bd38d5cb403d89810b02a,22.866372036,5.6396890292,4.121692102975803,4.48333068176607,8.905339265007107,10.166878618597266,2.0,200.0,0.99,0.9,4.984623730198562,5.511659980307867,0.9043779456656784,19,9.394971981147956,11.399879116870466,0.8241290881097603,0.8642535168877193,False
