design,model_id,mae,reference_b1_mae,improvement_vs_b1_percent,reference_b5_mae,improvement_vs_b5_percent,reference_b6_mae,improvement_vs_b6_percent
leave_profile_out,B7_two_regime_imm,6.573024472010513,7.31092175130067,10.093081343113539,8.03603639185759,18.205640797364413,7.311447665392591,10.099548368201695
leave_profile_out,B1_persistence_last_rate,7.31092175130067,7.31092175130067,0.0,8.03603639185759,9.02328716793309,7.311447665392591,0.007193022722575863
leave_profile_out,B6_adaptive_kalman,7.311447665392591,7.31092175130067,-0.007193540155553809,8.03603639185759,9.016742721563311,7.311447665392591,0.0
leave_profile_out,B5_fixed_kalman,8.03603639185759,7.31092175130067,-9.918238290922966,8.03603639185759,0.0,7.311447665392591,-9.910331847066447
leave_zone_out,B7_two_regime_imm,7.064226316272913,7.31092175130067,3.3743410669642,8.03603639185759,12.093151750399613,8.405255456237965,15.954650598630007
leave_zone_out,B1_persistence_last_rate,7.31092175130067,7.31092175130067,0.0,8.03603639185759,9.02328716793309,8.405255456237965,13.019636471906807
leave_zone_out,B5_fixed_kalman,8.03603639185759,7.31092175130067,-9.918238290922966,8.03603639185759,0.0,8.405255456237965,4.392716750879472
leave_zone_out,B6_adaptive_kalman,8.405255456237965,7.31092175130067,-14.968477876850542,8.03603639185759,-4.594541965420694,8.405255456237965,0.0
rolling_origin,B7_two_regime_imm,6.33148660288795,6.8237937224175695,7.214566259708129,7.696273649794032,17.733088881820176,6.958573052227978,9.011710369832917
rolling_origin,B1_persistence_last_rate,6.8237937224175695,6.8237937224175695,0.0,7.696273649794032,11.33639430037433,6.958573052227978,1.936881725589631
rolling_origin,B6_adaptive_kalman,6.958573052227978,6.8237937224175695,-1.9751378088647435,7.696273649794032,9.585165901498268,6.958573052227978,0.0
rolling_origin,B5_fixed_kalman,7.696273649794032,6.8237937224175695,-12.78584850110849,7.696273649794032,0.0,6.958573052227978,-10.601320012439313
temporal_holdout,B7_two_regime_imm,6.544990086139617,7.31092175130067,10.476540321674053,8.03603639185759,18.55449917111819,7.453611564340219,12.190351889916768
temporal_holdout,B1_persistence_last_rate,7.31092175130067,7.31092175130067,0.0,8.03603639185759,9.02328716793309,7.453611564340219,1.9143714668766745
temporal_holdout,B6_adaptive_kalman,7.453611564340219,7.31092175130067,-1.9517349233585173,8.03603639185759,7.24766289146605,7.453611564340219,0.0
temporal_holdout,B5_fixed_kalman,8.03603639185759,7.31092175130067,-9.918238290922966,8.03603639185759,0.0,7.453611564340219,-7.813994900188027
