design,fold_id,held_out_group,model_id,family,rows,n,mae,rmse,bias,r2
leave_profile_out,leave_profile_out_P-D01,P-D01,B5_fixed_kalman,fixed_kalman,21,21,4.955660526064535,5.527622883662127,-1.5529808772875313,0.9919314955044591
leave_profile_out,leave_profile_out_P-D01,P-D01,B6_adaptive_kalman,adaptive_kalman,21,21,4.97698540441659,5.500151164312999,-1.621018937483286,0.9920114954945763
leave_profile_out,leave_profile_out_P-D01,P-D01,B7_two_regime_imm,imm_damped_acceleration,21,21,5.177950035740567,5.729012969836527,-1.558666125913623,0.9913328593560632
leave_profile_out,leave_profile_out_P-D01,P-D01,B1_persistence_last_rate,persistence,21,21,5.5586843797813925,6.320016713775196,-0.45771011036985554,0.9894524234314641
leave_profile_out,leave_profile_out_P-H01,P-H01,B7_two_regime_imm,imm_damped_acceleration,18,18,7.494775655752482,8.90119780514625,1.330794196683953,0.96045399497348
leave_profile_out,leave_profile_out_P-H01,P-H01,B5_fixed_kalman,fixed_kalman,18,18,8.071560484763141,9.27059835754919,1.681032935611001,0.9571035606432204
leave_profile_out,leave_profile_out_P-H01,P-H01,B6_adaptive_kalman,adaptive_kalman,18,18,8.393854165272465,9.674884637191594,1.1483973923584574,0.9532805949798813
leave_profile_out,leave_profile_out_P-H01,P-H01,B1_persistence_last_rate,persistence,18,18,8.938395307263875,10.08827218798232,-0.756684055874993,0.9492028559931964
leave_profile_out,leave_profile_out_P-H02,P-H02,B7_two_regime_imm,imm_damped_acceleration,14,14,10.403035904527046,14.947840052730388,-5.572072139389225,0.9280219186879777
leave_profile_out,leave_profile_out_P-H02,P-H02,B1_persistence_last_rate,persistence,14,14,13.717358692672395,18.71185205850661,-13.569368249546544,0.8872083546996374
leave_profile_out,leave_profile_out_P-H02,P-H02,B6_adaptive_kalman,adaptive_kalman,14,14,16.620438276505638,23.014386886218478,-15.726779861813995,0.8293751821930729
leave_profile_out,leave_profile_out_P-H02,P-H02,B5_fixed_kalman,fixed_kalman,14,14,19.16908574871964,26.92521969546651,-18.16897169420774,0.76645966831555
leave_profile_out,leave_profile_out_P-H03,P-H03,B1_persistence_last_rate,persistence,12,12,5.3720510485077995,6.728706446208161,3.948665007127132,0.9740552338695655
leave_profile_out,leave_profile_out_P-H03,P-H03,B6_adaptive_kalman,adaptive_kalman,12,12,6.322843815299275,7.229699881888625,4.342964648089397,0.9700479097645567
