point_id,profile_id,point_type,feature,value,unit,provenance,standard_uncertainty,donor_distance_m,source_cell_id,model_feature_allowed,source_reference_year
P-D01-W006,P-D01,WORK,fill_density,0.421487599611282,1,C/R,0.08,12.29955337,G050-001205,True,2022
P-D01-W006,P-D01,WORK,fault_distance_m,231.592602818588,m,C/R,25,12.29955337,G050-001205,True,2022
P-D01-W006,P-D01,WORK,lithology,carnallite,category,D,,0,G050-001205,True,2022
P-D01-W006,P-D01,WORK,terrain_TRI_relative,0.0,relative,C/R,0.1,12.29955337,G050-001205,True,2022
P-D01-W006,P-D01,WORK,terrain_roughness_relative,0.0352941176470588,relative,C/R,0.1,12.29955337,G050-001205,True,2022
P-D01-W007,P-D01,WORK,settlement_anchor_map_mm,196.34703196347,mm,D,32.94520548,0,G050-001312,False,2022
P-D01-W007,P-D01,WORK,kzt,0.605027932960894,1,D,0.032,0,G050-001312,True,2022
P-D01-W007,P-D01,WORK,ko,0.493575418994413,1,D,0.014,0,G050-001312,True,2022
P-D01-W007,P-D01,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-001312,True,2022
P-D01-W007,P-D01,WORK,fill_density,0.801652908325195,1,C/R,0.08,30.36152878,G050-001312,True,2022
P-D01-W007,P-D01,WORK,fault_distance_m,155.653481984478,m,C/R,25,30.36152878,G050-001312,True,2022
P-D01-W007,P-D01,WORK,lithology,carnallite,category,D,,0,G050-001312,True,2022
P-D01-W007,P-D01,WORK,terrain_TRI_relative,0.0,relative,C/R,0.1,30.36152878,G050-001312,True,2022
P-D01-W007,P-D01,WORK,terrain_roughness_relative,0.266666666666667,relative,C/R,0.1,30.36152878,G050-001312,True,2022
P-D01-REF-B,P-D01,REF,settlement_anchor_map_mm,0.0,mm,S_REF,0,0,,False,2022
P-D01-REF-B,P-D01,REF,kzt,0.1,1,S_REF,,0,,True,2022
P-D01-REF-B,P-D01,REF,ko,0.3,1,S_REF,,0,,True,2022
P-D01-REF-B,P-D01,REF,seismic_energy_J_m2,0.0,J/m2,S_REF,,0,,True,2022
P-D01-REF-B,P-D01,REF,fill_density,0.0,1,S_REF,,0,,True,2022
P-D01-REF-B,P-D01,REF,fault_distance_m,9999.0,m,S_REF,,0,,True,2022
P-D01-REF-B,P-D01,REF,lithology,stable_external_reference,category,S_REF,,0,,True,2022
P-D01-REF-B,P-D01,REF,terrain_TRI_relative,,relative,S_REF,,0,,True,2022
P-D01-REF-B,P-D01,REF,terrain_roughness_relative,,relative,S_REF,,0,,True,2022
P-H01-REF-A,P-H01,REF,settlement_anchor_map_mm,0.0,mm,S_REF,0,0,,False,2022
P-H01-REF-A,P-H01,REF,kzt,0.1,1,S_REF,,0,,True,2022
P-H01-REF-A,P-H01,REF,ko,0.3,1,S_REF,,0,,True,2022
P-H01-REF-A,P-H01,REF,seismic_energy_J_m2,0.0,J/m2,S_REF,,0,,True,2022
P-H01-REF-A,P-H01,REF,fill_density,0.0,1,S_REF,,0,,True,2022
P-H01-REF-A,P-H01,REF,fault_distance_m,9999.0,m,S_REF,,0,,True,2022
P-H01-REF-A,P-H01,REF,lithology,stable_external_reference,category,S_REF,,0,,True,2022
