cell_id,grid_step_m,full_cell_area_m2,effective_area_m2,effective_area_fraction,x_local_m,y_local_m,settlement_reference_map_mm_raw,settlement_color_distance,settlement_digitized_valid,kzt_digitized,kzt_color_distance,kzt_digitized_valid,ko_digitized,ko_color_distance,ko_digitized_valid,seismic_energy_mid_J_m2_digitized,seismic_color_distance,seismic_digitized_valid,lithology_digitized,lithology_color_distance,lithology_digitized_valid,backfill_hatch_density,backfill_readability,terrain_TRI_relative,terrain_roughness_relative,terrain_digitized_valid,distance_to_reconstructed_fault_m,settlement_reference_map_mm,settlement_provenance,settlement_nearest_source_distance_m,settlement_standard_uncertainty_mm,kzt_reconstructed,kzt_provenance,kzt_nearest_source_distance_m,kzt_standard_uncertainty,ko_reconstructed,ko_provenance,ko_nearest_source_distance_m,ko_standard_uncertainty,seismic_energy_mid_J_m2_reconstructed,seismic_provenance,seismic_nearest_source_distance_m,seismic_standard_uncertainty_J_m2,lithology_reconstructed,lithology_provenance,lithology_nearest_source_distance_m,fault_proximity_0_1,reference_year,reference_date,reference_period_status,source_filename_support,settlement_anchor_id,settlement_anchor_conditioned
G050-004792,50,2500,916.060834433301,0.366424333773321,24125,42740.8393916557,39.2694063926938,0.237125227891147,True,0.327932960893855,36.8917334913934,True,0.393854748603352,1.73205080756888,True,7.5,2.63091482240838,True,carnallite,15.9891584796977,True,0.876033067703247,1,0.227777777777778,0.46797385620915,True,53.1909568607335,39.2694063926938,D,0,30.5890410958904,0.327932960893855,D,0,0.032,0.393854748603352,D,0,0.014,7.5,D,0,1.2,carnallite,D,0,0.859010475172564,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004793,50,2500,2500,1,24125,42775,314.155251141553,0,True,0.497765363128492,2.97168005561521,True,0.387988826815642,1.4142135623731,True,7.5,2.63091482240838,True,carnallite,15.3542563769428,True,0.958677709102631,1,,,False,54.9509259805602,314.155251141553,D,0,34.7123287671233,0.497765363128492,D,0,0.032,0.387988826815642,D,0,0.014,7.5,D,0,1.2,carnallite,D,0,0.85470179756541,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004794,50,2500,2500,1,24125,42825,314.155251141553,0,True,0.484357541899441,1,True,0.387988826815642,1.73205080756888,True,7.5,2.63091482240838,True,replacement_rock_salt,35.9093233018947,True,0.958677709102631,1,,,False,48.5085742061292,314.155251141553,D,0,34.7123287671233,0.484357541899441,D,0,0.032,0.387988826815642,D,0,0.014,7.5,D,0,1.2,replacement_rock_salt,D,0,0.870579735767798,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004795,50,2500,2500,1,24125,42875,314.155251141553,0,True,0.484357541899441,1,True,0.384078212290503,7.54983443527075,True,7.5,2.63091482240838,True,,44.6430285710994,False,0.958677709102631,1,0,0.890196078431372,True,9.95259389213644,314.155251141553,D,0,34.7123287671233,0.484357541899441,D,0,0.032,0.384078212290503,D,0,0.014,7.5,D,0,1.2,replacement_rock_salt,R,50,0.97196451484525,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004796,50,2500,2500,1,24125,42925,333.789954337899,4.92278447714192e-14,True,0.484357541899441,1,True,0.65,42.2528535511863,True,7.5,17.464249196573,True,,48.7009918904237,False,0.917355358600616,1,0,0.737254901960784,True,6.54883333092087,333.789954337899,D,0,35.0068493150685,0.484357541899441,D,0,0.032,0.65,D,0,0.014,7.5,D,0,1.2,carnallite,R,50,0.98146301080008,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004797,50,2500,2353.90112853493,0.94156045141397,24125,42973.5390112853,98.1735159817354,0.083189033080775,True,0.484357541899441,1,True,0.387988826815642,2.23606797749979,True,7.5,1.30989711421431,True,,39.6736688497547,False,0.917355358600616,1,,,False,3.24452988505147,98.1735159817354,D,0,31.472602739726,0.484357541899441,D,0,0.032,0.387988826815642,D,0,0.014,7.5,D,0,1.2,mixed_salts,R,50,0.990772749392798,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004798,50,2500,2197.21843525003,0.878887374100013,24125,43078.0278156475,333.789954337899,0,True,0.497765363128492,2.97168005561521,True,0.387988826815642,1,True,,94.5409963983879,False,replacement_rock_salt,34.7953988018212,True,1,1,0.0166666666666667,0.0300653594771242,True,3.86856754247743,333.789954337899,D,0,35.0068493150685,0.497765363128492,D,0,0.032,0.387988826815642,D,0,0.014,7.5,R,46.972184352504,2.68183310611502,replacement_rock_salt,D,0,0.989007810399282,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004799,50,2500,2500,1,24125,43125,176.712328767123,0.131533410441159,True,0.484357541899441,0,True,0.387988826815642,1.4142135623731,True,7.5,51.6333225737023,True,replacement_rock_salt,34.7953988018212,True,1,1,0.111111111111111,0.184313725490196,True,7.06620891394143,176.712328767123,D,0,32.6506849315068,0.484357541899441,D,0,0.032,0.387988826815642,D,0,0.014,7.5,D,0,1.2,replacement_rock_salt,D,0,0.980013268301953,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004800,50,2500,2500,1,24125,43175,196.34703196347,0.0657667052205858,True,,73.39618518697,False,0.384078212290503,6.48074069840786,True,7.5,58.6344608570762,True,carnallite,11.4455231422596,True,1,1,0.0666666666666667,0.116339869281046,True,10.469969475157,196.34703196347,D,0,32.945205479452,0.463154573316656,R,50,0.072,0.384078212290503,D,0,0.014,7.5,D,0,1.2,carnallite,D,0,0.970528802802782,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004801,50,2500,2500,1,24125,43225,431.963470319634,0.303169531295447,True,0.470949720670391,3.74165738677394,True,0.41536312849162,33.9705755029261,True,7.5,39.3064880140671,True,carnallite,37.7888872553824,True,0.826446294784546,1,0.188888888888889,0.320261437908497,True,13.8737300363726,431.963470319634,D,0,36.4794520547945,0.470949720670391,D,0,0.032,0.41536312849162,D,0,0.014,7.5,D,0,1.2,carnallite,D,0,0.961136126964746,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004802,50,2500,2098.30330961049,0.839321323844197,24125,43270.9830330961,431.963470319634,0.303169531295447,True,0.305586592178771,50.4975246918104,True,0.384078212290503,3.74165738677394,True,,27.3290138863443,False,carnallite,15.8581163936817,True,0.826446294784546,1,0.316666666666667,0.620915032679739,True,17.0040347271244,431.963470319634,D,0,36.4794520547945,0.305586592178771,D,0,0.032,0.384078212290503,D,0,0.014,7.5,R,45.9830330961049,2.67589819857663,carnallite,D,0,0.952578313595466,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004803,50,2500,2452.8162541741,0.981126501669642,24125,43375.4718374583,176.712328767123,0.098650057830885,True,,90.1886910870759,False,0.462290502793296,48.187135212627,True,,27.3290138863443,False,carnallite,15.9891584796977,True,0.776859521865845,0.892561972141266,0.35,0.418300653594771,True,24.1171321546538,176.712328767123,D,0,32.6506849315068,0.445302130433227,R,50,0.072,0.462290502793296,D,0,0.014,7.5,R,100,3,carnallite,D,0,0.933414331156507,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004804,50,2500,1970.50440014864,0.788201760059455,24125,43419.7050440015,196.34703196347,0.197300115661745,True,,90.37698822156,False,0.382122905027933,7.34846922834953,True,,27.3290138863443,False,carnallite,15.9891584796977,True,0.504132211208344,0.859504103660583,0.405555555555556,0.509803921568627,True,27.1283170332126,196.34703196347,D,0,32.945205479452,0.446359327398229,R,50,0.072,0.382122905027933,D,0,0.014,7.5,R,89.3867901759804,2.93632074105588,carnallite,D,0,0.925418253946266,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004805,50,2500,817.83527268999,0.327134109075996,24125,43491.8216472731,,212.435872676909,False,,90.37698822156,False,0.384078212290503,3,True,,27.3290138863443,False,carnallite,40.5462698654266,True,0.0495867766439915,0.595041334629059,0.8,0.58562091503268,True,32.0376700337076,193.688538144277,R,72.1166032716137,67.5277631554792,0.445203045762725,R,50,0.072,0.384078212290503,D,0,0.014,7.5,R,17.2701869043667,2.5036211214262,carnallite,D,0,0.912528281942404,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004806,50,2500,1001.4173632866,0.40056694531464,24125,43509.0918341775,,2.65753645318366,False,,91.2414379544733,False,0.384078212290503,3,True,7.5,27.8264828677454,True,carnallite,17.2280736654514,True,0,0.520661175251007,0.777777777777778,0.542483660130719,True,33.2133416551057,190.590719760247,R,89.3867901759804,69.5382292163226,0.445245316455684,R,50.0340168313913,0.0720054426930226,0.384078212290503,D,0,0.014,7.5,D,0,1.2,carnallite,D,0,0.909468185475406,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004807,50,2500,1147.01960586213,0.458807842344852,24175,39183.8382166009,,118.002648275367,False,0.739106145251397,3,True,0.53072625698324,36.0832371053374,True,22.5,0.460366936544102,True,carnallite,15.9891584796977,True,0.223140493035316,0.652892589569092,0.466666666666667,0.606535947712418,True,221.900173504693,252.797620911143,R,41.2613246952673,65.0073113816549,0.739106145251397,D,0,0.032,0.53072625698324,D,0,0.014,22.5,D,0,1.2,carnallite,D,0,0.530465425895507,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004808,50,2500,2213.56496352028,0.88542598540811,24172.1356496352,39225,176.712328767123,0,True,0.74804469273743,4,True,0.540502793296089,29.9666481275434,True,22.5,0.460366936544102,True,carnallite,15.9891584796977,True,0.264462798833847,0.727272748947144,0.383333333333333,0.583006535947712,True,217.028913929719,176.712328767123,D,0,32.6506849315068,0.74804469273743,D,0,0.032,0.540502793296089,D,0,0.014,22.5,D,0,1.2,carnallite,D,0,0.537899999179795,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
