table,field,dtype,rows,non_null,unique_values,example
settlement_rates,from_campaign_id,object,3276,3276,26,C001
settlement_rates,to_campaign_id,object,3276,3276,26,C002
settlement_rates,from_date,object,3276,3276,26,2018-05-15
settlement_rates,to_date,object,3276,3276,26,2018-10-16
settlement_rates,interval_years,float64,3276,3276,16,0.4216290212183436
settlement_rates,settlement_rate_mm_y,float64,3276,3276,3276,-3.7400297398408253
settlement_rates,standard_uncertainty_mm_y,float64,3276,3276,1898,2.012499364896518
settlement_rates,provenance,object,3276,3276,1,C
profile_kinematics,campaign_id,object,378,378,27,C001
profile_kinematics,date,object,378,378,27,2018-05-15
profile_kinematics,profile_id,object,378,378,14,P-D01
profile_kinematics,n_points,int64,378,378,1,9
profile_kinematics,max_settlement_mm,float64,378,378,378,31.090610305483324
profile_kinematics,min_settlement_mm,float64,378,378,378,0.08982698579984572
profile_kinematics,settlement_range_mm,float64,378,378,378,31.000783319683478
profile_kinematics,max_abs_tilt_mm_per_m,float64,378,378,378,0.10278745983742688
profile_kinematics,provenance,object,378,378,1,C
gnss_sessions_raw,gnss_session_id,object,2100,2100,2100,GN-C001-P-V05-W007-1
gnss_sessions_raw,campaign_id,object,2100,2100,25,C001
gnss_sessions_raw,date,object,2100,2100,25,2018-05-15
gnss_sessions_raw,point_id,object,2100,2100,42,P-V05-W007
gnss_sessions_raw,session_no,int64,2100,2100,2,1
gnss_sessions_raw,east_local_m,float64,2100,2100,2100,27335.703633987945
gnss_sessions_raw,north_local_m,float64,2100,2100,2100,42864.38312160694
gnss_sessions_raw,height_m,float64,2100,2100,2100,196.9402562049889
gnss_sessions_raw,baseline_km,float64,2100,2100,42,2.0429752723225563
gnss_sessions_raw,duration_min,int64,2100,2100,85,91
gnss_sessions_raw,pdop,float64,2100,2100,2056,1.764890760010569
gnss_sessions_raw,satellites,int64,2100,2100,14,10
gnss_sessions_raw,solution,object,2100,2100,2,fixed
gnss_sessions_raw,sigma_plan_mm_model,float64,2100,2100,82,3.2150413453128945
gnss_sessions_raw,sigma_height_mm_model,float64,2100,2100,82,5.623636399777406
gnss_sessions_raw,provenance,object,2100,2100,1,S
gnss_adjusted_epochs,campaign_id,object,1050,1050,25,C001
gnss_adjusted_epochs,date,object,1050,1050,25,2018-05-15
gnss_adjusted_epochs,point_id,object,1050,1050,42,P-D01-REF-A
gnss_adjusted_epochs,n_sessions,int64,1050,1050,1,2
gnss_adjusted_epochs,n_fixed,int64,1050,1050,2,2
gnss_adjusted_epochs,mean_pdop,float64,1050,1050,1050,1.6498519097759106
gnss_adjusted_epochs,max_pdop,float64,1050,1050,1050,1.8434311193524993
gnss_adjusted_epochs,adjusted_height_m,float64,1050,1050,1050,160.44754942331923
gnss_adjusted_epochs,observed_settlement_mm,float64,1050,1050,1050,-0.7418850287592704
gnss_adjusted_epochs,true_settlement_mm_evaluation_only,float64,1050,1050,751,0.0
gnss_adjusted_epochs,residual_mm_evaluation_only,float64,1050,1050,1050,-0.7418850287592704
gnss_adjusted_epochs,standard_uncertainty_mm,float64,1050,1050,1050,5.829932752334904
gnss_adjusted_epochs,common_mode_correction_mm,float64,1050,1050,25,0.25978320411468303
gnss_adjusted_epochs,common_mode_standard_uncertainty_mm,float64,1050,1050,25,1.1948034821879738
gnss_adjusted_epochs,qc_status,object,1050,1050,2,accepted
gnss_adjusted_epochs,qc_reason,object,1050,1050,2,two_fixed_sessions_and_calibrated_uncertainty
gnss_adjusted_epochs,provenance,object,1050,1050,1,C/S
insar_acquisition_catalog,acquisition_id,object,34,34,34,TSX-2020-01
insar_acquisition_catalog,date,object,34,34,34,2020-04-28
insar_acquisition_catalog,mission,object,34,34,1,TerraSAR-X analogue calendar
insar_acquisition_catalog,orbit_direction,object,34,34,1,descending
insar_acquisition_catalog,incidence_angle_deg,float64,34,34,1,36.0
insar_acquisition_catalog,calendar_provenance,object,34,34,1,P transferred analogue
insar_acquisition_catalog,source_object,object,34,34,1,Berezniki
insar_acquisition_catalog,use,object,34,34,1,auxiliary synthetic InSAR contour
insar_point_catalog,insar_point_id,object,100,100,100,PS-00001
insar_point_catalog,source_cell_id,object,100,100,100,G050-006917
insar_point_catalog,nearest_truth_point_id,object,100,100,43,P-H06-W003
insar_point_catalog,x_local_m,float64,100,100,100,25169.84842518348
insar_point_catalog,y_local_m,float64,100,100,100,43707.81591560534
insar_point_catalog,coherence_baseline,float64,100,100,100,0.542302624531074
insar_point_catalog,reflector_class,object,100,100,2,distributed_scatterer_proxy
insar_point_catalog,provenance,object,100,100,1,H
insar_observations_relative,acquisition_id,object,3400,3400,34,TSX-2020-01
insar_observations_relative,reference_acquisition_id,object,3400,3400,1,TSX-2020-01
insar_observations_relative,date,object,3400,3400,34,2020-04-28
insar_observations_relative,insar_point_id,object,3400,3400,100,PS-00001
insar_observations_relative,coherence,float64,3400,3400,3400,0.542302624531074
insar_observations_relative,qc_status,object,3400,3400,3,accepted
insar_observations_relative,true_vertical_settlement_relative_mm_evaluation_only,float64,3400,3400,793,0.0
insar_observations_relative,true_LOS_relative_mm_evaluation_only,float64,3400,3400,958,0.0
insar_observations_relative,raw_LOS_relative_mm,float64,3400,3400,3301,0.0
insar_observations_relative,estimated_atmospheric_correction_relative_mm,float64,3400,3400,3301,0.0
insar_observations_relative,estimated_orbit_correction_relative_mm,float64,3400,3400,3301,0.0
insar_observations_relative,estimated_dem_correction_relative_mm,float64,3400,3400,3301,0.0
insar_observations_relative,estimated_thermal_correction_relative_mm,float64,3400,3400,34,0.0
insar_observations_relative,corrected_LOS_relative_mm,float64,3400,3400,3301,0.0
insar_observations_relative,subvertical_estimate_relative_mm,float64,3400,3400,3301,0.0
insar_observations_relative,standard_uncertainty_mm,float64,3400,3400,3301,0.0
insar_observations_relative,first_epoch_zero_datum,bool,3400,3400,2,True
insar_observations_relative,provenance,object,3400,3400,1,C/S
stress_test_scenario_catalog,scenario_id,object,36,36,36,ST-001
stress_test_scenario_catalog,family,object,36,36,3,logistic_acceleration
stress_test_scenario_catalog,point_id,object,36,36,12,P-V05-W007
stress_test_scenario_catalog,peak_rate_mm_y,float64,36,36,36,327.20956697419047
stress_test_scenario_catalog,use_class,object,36,36,1,stress_test_only_not_calibration
stress_test_scenario_catalog,provenance,object,36,36,1,S
stress_test_truth_monthly,scenario_id,object,3024,3024,36,ST-001
stress_test_truth_monthly,point_id,object,3024,3024,12,P-V05-W007
stress_test_truth_monthly,date,object,3024,3024,84,2019-01-01
stress_test_truth_monthly,true_settlement_mm,float64,3024,3024,2989,0.0
stress_test_truth_monthly,true_velocity_mm_y,float64,3024,3024,3024,5.000007115686925
stress_test_truth_monthly,provenance,object,3024,3024,1,S
stress_test_measurements,scenario_id,object,864,864,36,ST-001
stress_test_measurements,point_id,object,864,864,12,P-V05-W007
stress_test_measurements,date,object,864,864,24,2022-01-01
stress_test_measurements,observed_settlement_mm,float64,864,834,834,17.733529973144183
stress_test_measurements,true_settlement_mm_evaluation_only,float64,864,864,864,20.46129268168314
stress_test_measurements,missing,bool,864,864,2,False
stress_test_measurements,gross_error,bool,864,864,2,False
stress_test_measurements,standard_uncertainty_mm,float64,864,864,1,2.5
stress_test_measurements,use_class,object,864,864,1,stress_test_only_not_calibration
stress_test_measurements,provenance,object,864,864,1,S
overview_georeference,transform_id,object,1,1,1,OVERVIEW-01
overview_georeference,status,object,1,1,1,context_only_not_engineering
overview_georeference,fit_basis,object,1,1,1,Figure 13 OSM screenshot + public SKRU-1/Gorodishche context points
overview_georeference,estimated_horizontal_uncertainty_m,int64,1,1,1,260
overview_georeference,object_coordinates_published,bool,1,1,1,False
overview_georeference,local_crs_primary,bool,1,1,1,True
overview_georeference,note,object,1,1,1,Official key or 4+ common geodetic points are required for engineering georeferencing.
provenance_codes,code,object,7,7,7,P
provenance_codes,name,object,7,7,7,published_exact
provenance_codes,definition,object,7,7,7,Точное число/дата/строка из источника
provenance_codes,default_confidence,float64,7,7,7,1.0
provenance_codes,rule,object,7,7,7,Не изменять; допускается только нормализация формата.
normative_requirements,requirement_id,object,11,11,11,N-001
normative_requirements,category,object,11,11,11,project_content
normative_requirements,requirement,object,11,11,11,"Проект маркшейдерских работ должен содержать исходные данные, методы измерений, порядок обработки и уравнивания, оценку точности, допустимые/критические значени"
normative_requirements,value_or_formula,object,11,10,9,mandatory
normative_requirements,source,object,11,11,8,"Приказ Ростехнадзора №186, раздел II"
normative_requirements,status,object,11,11,4,active
threshold_registry,threshold_id,object,20,20,20,TH-001
threshold_registry,threshold_class,object,20,20,7,measurement_qc
threshold_registry,parameter,object,20,20,16,leveling_closure_mm
threshold_registry,value,object,20,16,16,3*sqrt(L_km)
threshold_registry,authority,object,20,20,8,regulatory
threshold_registry,status,object,20,20,7,active
threshold_registry,source,object,20,20,8,"Приказ №186, приложение 2, табл. 6"
threshold_registry,interpretation,object,20,20,12,"Контроль качества измерений, не порог геомеханической опасности."
vzt_engineering_criteria,criterion_id,object,8,8,8,VZT-01
vzt_engineering_criteria,boundary_type,object,8,8,2,constant_boundary
vzt_engineering_criteria,L_over_H,float64,8,8,2,1.54
vzt_engineering_criteria,pillar_loading_condition,object,8,8,2,C<=0.4
vzt_engineering_criteria,parameter,object,8,8,2,allowable_eta_over_H_x1e3
vzt_engineering_criteria,value,float64,8,8,8,7.7
vzt_engineering_criteria,authority,object,8,8,1,published_engineering_reference
vzt_engineering_criteria,source,object,8,8,1,"Барях А.А., Тенисон Л.О. Обоснование инженерных критериев безопасной подработки водозащитной толщи, 2021, табл. 4"
vzt_engineering_criteria,status,object,8,8,1,reference_only_not_enterprise
