design,model_id,dimension,segment,origins,points,profiles,zones,support_status,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,direction_accuracy,direction_neutral_fraction
internal_temporal,B1_persistence_last_rate,equal_profile_macro,all_groups_equal_weight,88,88,14,4,ELIGIBLE_SUPPORT,6.178201851740235,5.14648792159285,7.765868201048171,0.8046665948809498,3.7918013131179746,11.523043902315518,12.644812759535316,13.766581616755117,0.2631588300568449,,,,,,,
internal_temporal,B1_persistence_last_rate,equal_zone_macro,all_groups_equal_weight,88,88,14,4,ELIGIBLE_SUPPORT,5.0497068072490015,4.307246696946422,7.130208648115764,1.510195306513399,1.5926018952615593,8.845690453100023,10.723908838778623,24.81299667767862,0.8936862556485275,,,,,,,
internal_temporal,B1_persistence_last_rate,history,6_9,4,4,3,2,DESCRIPTIVE_LOW_SUPPORT,3.3805681789250195,3.0249077873571615,4.406927147040001,3.316367585503595,3.316367585503595,6.542731553042902,6.943393753592903,7.344055954142906,0.7337433153671054,,,,,,,
internal_temporal,B1_persistence_last_rate,history,ge_10,84,84,14,4,ELIGIBLE_SUPPORT,6.2338682274076564,4.748056190500069,10.67376303780728,0.9150890934545973,0.9150890934545973,11.334765867857072,14.722187535642911,71.02960179557142,0.9120262741244336,,,,,,,
internal_temporal,B1_persistence_last_rate,horizon,91_150,14,14,2,2,DESCRIPTIVE_LOW_SUPPORT,6.174939281688787,5.039926487499997,7.691044127239889,0.4436512620969643,0.4436512620969643,12.649003528928592,13.772664780642923,15.00704436214292,0.9674148736170721,,,,,,,
internal_temporal,B1_persistence_last_rate,horizon,gt_150,74,74,12,4,ELIGIBLE_SUPPORT,6.090784511814869,4.65818584571435,10.917137563722036,1.1340788719303119,1.1340788719303119,9.654270542342784,13.656324465392899,71.02960179557142,0.8818377948138677,,,,,,,
internal_temporal,B1_persistence_last_rate,missing_campaigns,0,21,21,3,2,DESCRIPTIVE_LOW_SUPPORT,5.394715637363963,4.643397074285808,6.736440390450297,1.1483636410918594,1.1483636410918594,11.578014441428472,13.107998852142927,15.00704436214292,0.9746440541068407,,,,,,,
internal_temporal,B1_persistence_last_rate,missing_campaigns,1,63,63,11,4,ELIGIBLE_SUPPORT,6.563999131106124,4.85271530671433,11.718258314968383,1.0733591530480746,1.0733591530480746,10.604584899999972,14.90515819635714,71.02960179557142,0.8512088219336202,,,,,,,
internal_temporal,B1_persistence_last_rate,missing_campaigns,ge_2,4,4,4,1,DESCRIPTIVE_LOW_SUPPORT,2.586557543403556,2.1854803152142557,3.307516675799978,-0.40107722818930025,0.40107722818930025,4.761287922140022,5.304078139241441,5.846868356342863,0.9346923217277386,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-D01-W001,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,3.413625038000106,3.413625038000106,3.413625038000106,3.413625038000106,3.413625038000106,3.413625038000106,3.413625038000106,3.413625038000106,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-D01-W002,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,15.132218874714276,15.132218874714276,15.132218874714276,15.132218874714276,15.132218874714276,15.132218874714276,15.132218874714276,15.132218874714276,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-D01-W003,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,8.14362617971424,8.14362617971424,8.14362617971424,8.14362617971424,8.14362617971424,8.14362617971424,8.14362617971424,8.14362617971424,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-D01-W004,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,7.554185054571381,7.554185054571381,7.554185054571381,7.554185054571381,7.554185054571381,7.554185054571381,7.554185054571381,7.554185054571381,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-D01-W005,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,9.954181048571314,9.954181048571314,9.954181048571314,9.954181048571314,9.954181048571314,9.954181048571314,9.954181048571314,9.954181048571314,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-D01-W006,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,19.3045414122858,19.3045414122858,19.3045414122858,-19.3045414122858,19.3045414122858,19.3045414122858,19.3045414122858,19.3045414122858,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-D01-W007,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,10.767185862857133,10.767185862857133,10.767185862857133,10.767185862857133,10.767185862857133,10.767185862857133,10.767185862857133,10.767185862857133,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H01-W001,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,5.707378456714274,5.707378456714274,5.707378456714274,5.707378456714274,5.707378456714274,5.707378456714274,5.707378456714274,5.707378456714274,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H01-W002,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,1.2062760771429168,1.2062760771429168,1.2062760771429168,1.2062760771429168,1.2062760771429168,1.2062760771429168,1.2062760771429168,1.2062760771429168,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H01-W003,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,1.8838737937143435,1.8838737937143435,1.8838737937143435,-1.8838737937143435,1.8838737937143435,1.8838737937143435,1.8838737937143435,1.8838737937143435,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H01-W004,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,2.583806029999991,2.583806029999991,2.583806029999991,-2.583806029999991,2.583806029999991,2.583806029999991,2.583806029999991,2.583806029999991,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H01-W005,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,4.88659779599999,4.88659779599999,4.88659779599999,4.88659779599999,4.88659779599999,4.88659779599999,4.88659779599999,4.88659779599999,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H01-W006,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,4.643397074285808,4.643397074285808,4.643397074285808,4.643397074285808,4.643397074285808,4.643397074285808,4.643397074285808,4.643397074285808,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H01-W007,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,5.928549213142894,5.928549213142894,5.928549213142894,5.928549213142894,5.928549213142894,5.928549213142894,5.928549213142894,5.928549213142894,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H02-W001,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,13.107998852142927,13.107998852142927,13.107998852142927,13.107998852142927,13.107998852142927,13.107998852142927,13.107998852142927,13.107998852142927,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H02-W002,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,2.981081894999832,2.981081894999832,2.981081894999832,-2.981081894999832,2.981081894999832,2.981081894999832,2.981081894999832,2.981081894999832,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H02-W003,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,0.18415541214295672,0.18415541214295672,0.18415541214295672,-0.18415541214295672,0.18415541214295672,0.18415541214295672,0.18415541214295672,0.18415541214295672,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H02-W004,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,15.00704436214292,15.00704436214292,15.00704436214292,-15.00704436214292,15.00704436214292,15.00704436214292,15.00704436214292,15.00704436214292,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H02-W005,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,10.745750778642867,10.745750778642867,10.745750778642867,10.745750778642867,10.745750778642867,10.745750778642867,10.745750778642867,10.745750778642867,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H02-W006,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,11.578014441428472,11.578014441428472,11.578014441428472,-11.578014441428472,11.578014441428472,11.578014441428472,11.578014441428472,11.578014441428472,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H02-W007,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,7.112372067142928,7.112372067142928,7.112372067142928,7.112372067142928,7.112372067142928,7.112372067142928,7.112372067142928,7.112372067142928,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H03-W001,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,6.406293462857242,6.406293462857242,6.406293462857242,-6.406293462857242,6.406293462857242,6.406293462857242,6.406293462857242,6.406293462857242,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H03-W002,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,5.526909041428574,5.526909041428574,5.526909041428574,5.526909041428574,5.526909041428574,5.526909041428574,5.526909041428574,5.526909041428574,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H03-W003,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,4.55294393357142,4.55294393357142,4.55294393357142,4.55294393357142,4.55294393357142,4.55294393357142,4.55294393357142,4.55294393357142,,,,,,,,
internal_temporal,B1_persistence_last_rate,point,P-H03-W004,1,1,1,1,DESCRIPTIVE_LOW_SUPPORT,4.2219879478572295,4.2219879478572295,4.2219879478572295,4.2219879478572295,4.2219879478572295,4.2219879478572295,4.2219879478572295,4.2219879478572295,,,,,,,,
