task,split,feature,rows,missing_count,missing_fraction
T1,test,seismic_energy_J_m2__standard_uncertainty,175,0,0.0
T1,test,seismic_energy_J_m2__donor_distance_m,175,0,0.0
T1,test,seismic_energy_J_m2__provenance,175,0,0.0
T1,test,fill_density,175,0,0.0
T1,test,fill_density__standard_uncertainty,175,0,0.0
T1,test,fill_density__donor_distance_m,175,0,0.0
T1,test,fill_density__provenance,175,0,0.0
T1,test,fault_distance_m,175,0,0.0
T1,test,fault_distance_m__standard_uncertainty,175,0,0.0
T1,test,fault_distance_m__donor_distance_m,175,0,0.0
T1,test,fault_distance_m__provenance,175,0,0.0
T1,test,lithology,175,0,0.0
T1,test,lithology__standard_uncertainty,175,175,1.0
T1,test,lithology__donor_distance_m,175,0,0.0
T1,test,lithology__provenance,175,0,0.0
T1,test,terrain_TRI_relative,175,59,0.33714285714285713
T1,test,terrain_TRI_relative__standard_uncertainty,175,0,0.0
T1,test,terrain_TRI_relative__donor_distance_m,175,0,0.0
T1,test,terrain_TRI_relative__provenance,175,0,0.0
T1,test,terrain_roughness_relative,175,59,0.33714285714285713
T1,test,terrain_roughness_relative__standard_uncertainty,175,0,0.0
T1,test,terrain_roughness_relative__donor_distance_m,175,0,0.0
T1,test,terrain_roughness_relative__provenance,175,0,0.0
T1,test,target_campaign_type,175,0,0.0
T5,train,n_history,942,0,0.0
T5,train,last_settlement_mm,942,0,0.0
T5,train,last_rate_mm_y,942,0,0.0
T5,train,mean_last_3_rates_mm_y,942,0,0.0
T5,train,std_last_3_rates_mm_y,942,0,0.0
T5,train,recent_acceleration_mm_y2,942,0,0.0
T5,train,current_standard_uncertainty_mm,942,0,0.0
T5,train,days_since_previous_observation,942,0,0.0
T5,train,forecast_horizon_days,942,0,0.0
T5,train,current_campaign_type,942,0,0.0
T5,train,missing_campaigns_since_previous,942,0,0.0
T5,train,profile_mean_settlement_mm,942,0,0.0
T5,train,profile_mean_rate_mm_y,942,0,0.0
T5,train,profile_rate_std_mm_y,942,0,0.0
T5,train,profile_n_observed,942,0,0.0
T5,train,chainage_m,942,0,0.0
T5,train,chainage_normalized_profile,942,0,0.0
T5,train,kzt,942,0,0.0
T5,train,kzt__standard_uncertainty,942,0,0.0
T5,train,kzt__donor_distance_m,942,0,0.0
T5,train,kzt__provenance,942,0,0.0
T5,train,ko,942,0,0.0
T5,train,ko__standard_uncertainty,942,0,0.0
T5,train,ko__donor_distance_m,942,0,0.0
T5,train,ko__provenance,942,0,0.0
T5,train,seismic_energy_J_m2,942,0,0.0
T5,train,seismic_energy_J_m2__standard_uncertainty,942,0,0.0
T5,train,seismic_energy_J_m2__donor_distance_m,942,0,0.0
T5,train,seismic_energy_J_m2__provenance,942,0,0.0
T5,train,fill_density,942,0,0.0
T5,train,fill_density__standard_uncertainty,942,0,0.0
T5,train,fill_density__donor_distance_m,942,0,0.0
T5,train,fill_density__provenance,942,0,0.0
T5,train,fault_distance_m,942,0,0.0
T5,train,fault_distance_m__standard_uncertainty,942,0,0.0
T5,train,fault_distance_m__donor_distance_m,942,0,0.0
T5,train,fault_distance_m__provenance,942,0,0.0
T5,train,lithology,942,0,0.0
T5,train,lithology__standard_uncertainty,942,942,1.0
T5,train,lithology__donor_distance_m,942,0,0.0
T5,train,lithology__provenance,942,0,0.0
T5,train,terrain_TRI_relative,942,296,0.31422505307855625
T5,train,terrain_TRI_relative__standard_uncertainty,942,0,0.0
T5,train,terrain_TRI_relative__donor_distance_m,942,0,0.0
T5,train,terrain_TRI_relative__provenance,942,0,0.0
T5,train,terrain_roughness_relative,942,296,0.31422505307855625
T5,train,terrain_roughness_relative__standard_uncertainty,942,0,0.0
T5,train,terrain_roughness_relative__donor_distance_m,942,0,0.0
T5,train,terrain_roughness_relative__provenance,942,0,0.0
T5,train,target_campaign_type,942,0,0.0
T5,validation,n_history,211,0,0.0
T5,validation,last_settlement_mm,211,0,0.0
T5,validation,last_rate_mm_y,211,0,0.0
T5,validation,mean_last_3_rates_mm_y,211,0,0.0
T5,validation,std_last_3_rates_mm_y,211,0,0.0
T5,validation,recent_acceleration_mm_y2,211,0,0.0
T5,validation,current_standard_uncertainty_mm,211,0,0.0
T5,validation,days_since_previous_observation,211,0,0.0
T5,validation,forecast_horizon_days,211,0,0.0
