scope,seed,fold_id,rows,crps,nll,coverage_50,mean_width_50,median_width_50,interval_score_50,coverage_80,mean_width_80,median_width_80,interval_score_80,coverage_95,mean_width_95,median_width_95,interval_score_95,mean_interval_width,median_interval_width,mean_interval_score
fold_seed,42117,rolling_origin_2021-05-18,84,2.989931027425816,3.099027354915798,0.3333333333333333,4.955291349731347,4.858150882619245,13.277662942039512,0.7142857142857143,10.145073642214676,9.940325133760266,19.88095109686205,0.9285714285714286,17.96340813911471,17.577384947745863,34.77649980276991,11.021257710353579,9.940325133760266,22.645037947223823
fold_seed,42117,rolling_origin_2021-07-13,12,3.539089007045867,3.346674722964862,0.25,5.885979391645196,5.85708660990127,16.09505782678063,0.75,12.077195238286384,12.017339379939335,19.32559688656037,0.9166666666666666,21.480172432432344,21.370435315315937,26.618192368240997,13.147782354121308,12.017339379939335,20.679615693860665
fold_seed,42117,rolling_origin_2021-11-02,91,4.5018049760455705,3.411855548452889,0.4175824175824176,5.440866258702598,5.267015808960291,19.712186537734652,0.7252747252747253,11.14992490466092,10.782849843535487,34.79940277580195,0.9120879120879121,19.780792352155007,19.12476993899023,84.64922721139074,12.123861171839508,10.782849843535487,46.38693884164245
fold_seed,42117,rolling_origin_2022-03-01,14,8.40452756684326,4.32220285166218,0.07142857142857142,6.0698821585311515,5.9518834442361435,37.00656490823343,0.42857142857142855,12.681977941454278,12.429764909326416,64.88822775474151,0.8571428571428571,23.415928450656857,22.92560557824337,157.05921045212042,14.05592951688076,12.429764909326416,86.31800103836514
fold_seed,42117,rolling_origin_2022-05-17,89,4.3815847556724234,3.3321877396433868,0.5168539325842697,6.216064873314457,6.213064056974517,19.346991635026182,0.7865168539325843,12.961327609150484,12.981589062577665,34.5725079694334,0.9213483146067416,23.831672954851808,23.602713412433452,79.0662624355573,14.336355145772252,12.981589062577665,44.3285873466723
fold_seed,42117,rolling_origin_2022-07-19,13,10.91221244126647,5.024868707990096,0.23076923076923078,6.93061055443691,6.880063837820586,47.62476566070115,0.46153846153846156,14.633976753106536,14.528226608197489,93.28155414996708,0.46153846153846156,27.61888766277707,27.42154831810273,204.66274815225913,16.394491656773504,14.528226608197489,115.18968932097577
fold_seed,42117,rolling_origin_2022-10-18,90,6.38112597971791,3.5541652200180516,0.5111111111111111,7.666126176438,7.2033927483747,28.046212539733535,0.7444444444444445,16.29524540686578,15.30504641515293,51.464735343214144,0.9111111111111111,31.19134981207746,29.099451633829215,119.83838344235663,18.38424046512708,15.609453387530753,66.44977710843477
fold_seed,42117,rolling_origin_2023-01-17,12,9.005524860570562,4.061612357770017,0.3333333333333333,7.953848842884359,5.659625645844347,40.94072156475109,0.5,17.094258060504796,11.955474033996726,67.99577390877322,0.75,33.54389148453702,22.58284382876844,100.07679222077337,19.530666129308727,13.091197825389616,69.6710958980992
fold_seed,42117,rolling_origin_2023-05-16,88,5.035585928618662,3.4187032351944064,0.3522727272727273,6.2583764397468205,5.442816563550568,22.84687615460098,0.6477272727272727,13.511662531049865,11.638193242271335,36.1072010202369,0.9204545454545454,26.768751463046996,22.504143713076726,47.017529847405015,15.51293014461456,12.061773045913206,35.32386900741431
fold_seed,42117,rolling_origin_2023-07-25,14,14.45568165322643,4.5205868216608165,0.07142857142857142,8.108232001979463,4.883215389875268,63.851836121197074,0.5,17.717081481569313,10.47981232260122,117.92173380734367,0.7142857142857143,35.99975533820136,20.46368642259354,249.6284663886595,20.608356273916712,15.00777304555227,143.8006787724001
