model_id,seeds,seed_mae_mean,seed_mae_median,seed_mae_iqr,seed_mae_cv,seed_mae_min,seed_mae_max,seed_mae_range,ensemble_mae,ensemble_gain_vs_median_seed,dates_improved_vs_b1,dates_improved_vs_b7,seed_iqr_descriptive_pass,seed_cv_descriptive_pass
C01_compact_gru,5,6.471281607732854,6.455612057558266,0.15822886606179587,0.013204126960513922,6.3602996196529356,6.577158758704804,0.21685913905186815,6.287934504543562,0.16767755301470366,5,4,True,True
C02_compact_lstm,5,6.647475314748921,6.717693007547768,0.08709125632879289,0.01916180869201545,6.402629845122122,6.744740974049682,0.34211112892756024,6.466581579598985,0.25111142794878294,5,5,True,True
C03_causal_tcn,5,6.8958350664558195,6.786942262886643,0.19395696499328796,0.02457972612747782,6.758767519838946,7.1999736144119675,0.4412060945730216,6.551860225503132,0.23508203738351074,5,3,True,True
C04_probabilistic_gru_student_t,5,7.256812620760615,7.246853931891312,0.18659758445646712,0.025297865756748854,7.0673317592698295,7.583857631876181,0.5165258726063513,7.177393404799803,0.0694605270915094,3,1,True,True
