fit_id,role,model_id,fold_id,seed,manifest_path,manifest_content_sha256,ranking_policy,selection_policy,keep_top_k,retained_checkpoint_count,top_k_fully_populated,selected_epoch,selected_metric,latest_stage_epoch,ranked_checkpoint_bytes,resumed_from_recovery,persistence_scope,outer_labels_used_for_ranking
b90314853322f4460337d27e29bfe266a0a92028d679e63fc0f4607cbb52b1df,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42117,work/gate_c1/checkpoints/inner/b90314853322f4460337d27e29bfe266a0a92028d679e63fc0f4607cbb52b1df/manifest.json,320127b1aaea61cb7c7c74061144feabe3726178e399093051aa37b9262da418,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,15,11.813084602355957,115,749610,False,work_only,False
c2321880171b61e19034f6f14a7e0efe4ee2ade6c1e77bad32b2a4836672d710,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42117,work/gate_c1/checkpoints/inner/c2321880171b61e19034f6f14a7e0efe4ee2ade6c1e77bad32b2a4836672d710/manifest.json,215ae783f67b157fa87bca7797b77655e24cbc4cf2367ff0afcd4167f645cf18,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,11,11.782143592834473,111,180570,False,work_only,False
d48ed1278e031bf8bc00305e2b994cfc700c2e0118f8820dfe18d22a3ed9ab2f,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42117,work/gate_c1/checkpoints/inner/d48ed1278e031bf8bc00305e2b994cfc700c2e0118f8820dfe18d22a3ed9ab2f/manifest.json,2a04a8156b007a3004e4c48176119c3e726900826b248bab8ea1bf96263f8193,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,11,11.794917106628418,111,180570,False,work_only,False
dc60e89a8ad08b8ce87a753693b0b1e7f34c7dc3352beb9745e93c51d5f44be6,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42117,work/gate_c1/checkpoints/inner/dc60e89a8ad08b8ce87a753693b0b1e7f34c7dc3352beb9745e93c51d5f44be6/manifest.json,9ae46d994412e125a876c957954628bf92cf78f93d84dbc6b794d7afcb66419a,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,15,11.575944900512695,115,348570,False,work_only,False
df1404c384012f12665ee0e0e1897663cdd741b832f8dd39cd56f844792a7e47,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42117,work/gate_c1/checkpoints/inner/df1404c384012f12665ee0e0e1897663cdd741b832f8dd39cd56f844792a7e47/manifest.json,32d9e5f3e044968da426e45d15e6e659e3d56c2f693117c96f7d6d5bcd56a486,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,15,11.857574462890625,115,749610,False,work_only,False
f4b8bd7a600955d0d8025f7c0d3d5ce8e62b60d9be6018c4090daf4f5deab2db,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42117,work/gate_c1/checkpoints/inner/f4b8bd7a600955d0d8025f7c0d3d5ce8e62b60d9be6018c4090daf4f5deab2db/manifest.json,dc678f4612b039b347a80df73ffc2283c595c2263c4b24ed993c23c8606c9090,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,176,11.527591705322266,276,299370,False,work_only,False
1a1f3338f275d8051174565417c1ea968dd66ad734092a04786d4f6d3df3ecf2,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/1a1f3338f275d8051174565417c1ea968dd66ad734092a04786d4f6d3df3ecf2/manifest.json,170ac8571de0449b275ce7215bc951d2409d773300dc9ba60534b22c2c7b8901,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,19,11.224717140197754,119,348570,False,work_only,False
24be0e71e431ca0c8fc0e3d4642732167e95365e643d3eb2e60b4fc595d25c19,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/24be0e71e431ca0c8fc0e3d4642732167e95365e643d3eb2e60b4fc595d25c19/manifest.json,c4196e419caf4615e3139b42e31a1713249d09f63bf56bb41cb3c65a2c4df300,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,12,11.491201400756836,112,749610,False,work_only,False
2d322257c81d90c766bd0413127208f0ee3618e4f5e0584f8fa881e77fd8bb31,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/2d322257c81d90c766bd0413127208f0ee3618e4f5e0584f8fa881e77fd8bb31/manifest.json,992c870f1df8071ca5a1daa6155a90ace9944fcd6ac08be9294fd0c1ace4d4f9,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,19,11.180368423461914,119,348570,False,work_only,False
3d3fead412a0e6ec2b8a6dab828b10c5386b7bba2539671afbc696130bc5c761,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/3d3fead412a0e6ec2b8a6dab828b10c5386b7bba2539671afbc696130bc5c761/manifest.json,6b9c2cdf4c00860f4f067ee99aabcd8c7e4cdb4aeaaf0168a554751e7ce1e5b6,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,19,11.181253433227539,119,348570,False,work_only,False
53123f1e0f55c7f0e516da77b5b131aeb74acad0941c484d511f66a37fd9ee5e,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/53123f1e0f55c7f0e516da77b5b131aeb74acad0941c484d511f66a37fd9ee5e/manifest.json,b46ca828a2e765f6a5a6333f5a7ce08557c3c426e28e2384f0cf939022d234dc,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,23,12.165940284729004,123,180570,False,work_only,False
6660988c24b83b4966e60fe7f893fa52c8e0b68ff9cc98f05d94cb1607533c1b,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/6660988c24b83b4966e60fe7f893fa52c8e0b68ff9cc98f05d94cb1607533c1b/manifest.json,dbd440be35809ac5dc01d88575dc91e739b4557e64aa29d1cafc8a66c2a4334b,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,142,11.326028823852539,242,299370,False,work_only,False
6ddd5df33da8f7d1e4fa441d6ef4049b58c75cfa9b8c20bdaa9d06570795bacf,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/6ddd5df33da8f7d1e4fa441d6ef4049b58c75cfa9b8c20bdaa9d06570795bacf/manifest.json,ac51278251d4bba658f2111b5128bf46e55f6d363a1a21de4f535345f247a14b,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,97,11.579950332641602,197,299370,False,work_only,False
6deed4944d44e2a4a5af1d12c2b2ac8086dac4d071ba61b1465168ddd0883f63,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/6deed4944d44e2a4a5af1d12c2b2ac8086dac4d071ba61b1465168ddd0883f63/manifest.json,bf13be54f712020a2b9b617f1326be39f5810cb95f25243f13d4ed4760d8ecc1,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,97,11.579660415649414,197,299370,False,work_only,False
711f05b250118759653a01806d31f7e7e4db6f1bbe6af8bf96ce0fe72575c55e,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/711f05b250118759653a01806d31f7e7e4db6f1bbe6af8bf96ce0fe72575c55e/manifest.json,21b2720b53be5bfcad142fbecc566c5b947325dc1351b87fd04459b5b161b95a,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,23,12.184279441833496,123,180570,False,work_only,False
a04581ebb83ed113daba0f0abc39a4b6e3570a7ff0e3057e8f4330713ff4a01e,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/a04581ebb83ed113daba0f0abc39a4b6e3570a7ff0e3057e8f4330713ff4a01e/manifest.json,eac6ae76d4da8ddb1c3a33715b5edf42292454154eb81b2e2a80ebb049496c12,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,12,11.475777626037598,112,749610,False,work_only,False
a30d2b389edd6a331e5ddd8e462c651b508951bfd84848f0b4c5f6be636490f0,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/a30d2b389edd6a331e5ddd8e462c651b508951bfd84848f0b4c5f6be636490f0/manifest.json,8168845eb5bf6d6535271de24cd59389637e8fa2c051ebeaee1751702db7009c,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,142,11.324895858764648,242,299370,False,work_only,False
bdfdeb399db1706535cb4dd0e6b6b2cf98bd729c98c4ee59dd437071a073e1fa,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/bdfdeb399db1706535cb4dd0e6b6b2cf98bd729c98c4ee59dd437071a073e1fa/manifest.json,d6ed3c11fcf739f6c0eaa18a4f6ef684e52e632afe28fe93d3e3d82e6f05810a,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,12,11.479439735412598,112,749610,False,work_only,False
c0a87c9cb7591568efa286091671ed95c6e1483fb03a856eb8112a4782b16833,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/c0a87c9cb7591568efa286091671ed95c6e1483fb03a856eb8112a4782b16833/manifest.json,ad757c3ea3012fd75c6e26e58d8ea37126a81be09f988045b732c3c0fae7bb00,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,12,11.490422248840332,112,749610,False,work_only,False
cc83ec93cc7f2d515e23f8218fa8be7f1f13d93c5e81c6234dfb30de52fec81a,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/cc83ec93cc7f2d515e23f8218fa8be7f1f13d93c5e81c6234dfb30de52fec81a/manifest.json,e100bd231f57730cf4c3f318520f7ebe6662a0e64fd26d9b3ab7252b51ac59a0,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,23,12.167168617248535,123,180570,False,work_only,False
de8178d1b0ae1ece483b5af895cb4ee987ffdfbe174902658a9e54c5d70b2e59,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/de8178d1b0ae1ece483b5af895cb4ee987ffdfbe174902658a9e54c5d70b2e59/manifest.json,a568a3aeb49481976f3f06ea1a4d3936aa89160875b924af1e0b865ee644486b,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,23,12.186224937438965,123,180570,False,work_only,False
f6103fd186d82dfe068e706a6f96d42b382e87157bae50c7309979fde6913110,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42118,work/gate_c1/checkpoints/inner/f6103fd186d82dfe068e706a6f96d42b382e87157bae50c7309979fde6913110/manifest.json,92ca1c1a5610e6994a41cb7b3f1bc1f96fe3191603c4f64687bc953ad647eb97,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,19,11.223819732666016,119,348570,False,work_only,False
024b752b955cef3e49d5cde3eac4ace25aab7c39ab37bdf020d0e46b542af0f9,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42119,work/gate_c1/checkpoints/inner/024b752b955cef3e49d5cde3eac4ace25aab7c39ab37bdf020d0e46b542af0f9/manifest.json,bd9a5ccb3f0f75efc2d2322a0288a90237fb02689fd1189abe0893a81bfda0d7,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,24,11.784456253051758,124,180250,False,work_only,False
24de88b0e9fdc1ca3698e36328db7aaff5f05692244874999de1cf650978aebc,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42119,work/gate_c1/checkpoints/inner/24de88b0e9fdc1ca3698e36328db7aaff5f05692244874999de1cf650978aebc/manifest.json,6c177362500d364e4914c4283b1448dd786cc24883e2d6147d22c28eafa7f373,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,14,11.160221099853516,114,348250,False,work_only,False
27bcd79b6e562513d973d7939f837dc5b99c52e45b4d8a72f5fc7af25716c758,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42119,work/gate_c1/checkpoints/inner/27bcd79b6e562513d973d7939f837dc5b99c52e45b4d8a72f5fc7af25716c758/manifest.json,45844e5fea56d2780f402fca5cd18219ed40cc81b08b0363ba52372eb0fc6280,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,25,11.771347045898438,125,180250,False,work_only,False
2acb1def1585c49a00c84fd352112c1254de36dccd1c0adcb7ad0704db383dd3,inner,C01_compact_gru,rolling_origin_2021-05-18__inner_1_2020-06-02,42119,work/gate_c1/checkpoints/inner/2acb1def1585c49a00c84fd352112c1254de36dccd1c0adcb7ad0704db383dd3/manifest.json,845de261e60ca7f6bcbb3ab7b2d67c189d7e4a928cc5502f37d7b8b8d703b847,metric_ascending_then_epoch,rank_1_inner_objective,5,5,True,12,10.947685241699219,112,749610,False,work_only,False
