model_id,family,aggregation,seed,fold_id,target_date,rows,fit_seconds,inference_seconds,peak_ram_mb,peak_vram_mb,parameter_count,epoch_count,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction,b1_fold_mae,fold_mae_ratio_vs_b1
B1_persistence_last_rate,persistence,single_seed,42117,rolling_origin_2021-05-18,2021-05-18,84,0.0004870999982813,4.1099992813542485e-05,193.08984375,0.0,1,0,84,4.847109727074055,4.1289805209107175,6.341400649593356,-0.5754382094467138,0.5754382094467138,8.583695822160756,9.654317034071454,26.483761313928593,0.8352418022506362,4.97020768381669,6.500795867205762,4.847109727074055,0.0,0.6186954761653514,True,0.5,0.5,4.847109727074055,1.0
B1_persistence_last_rate,persistence,single_seed,42117,rolling_origin_2021-07-13,2021-07-13,12,0.000500699999975,4.2400002712383866e-05,193.08984375,0.0,1,0,12,6.930570676489801,7.914794916116086,7.312256002369446,-1.3098000733317303,1.3098000733317303,9.014518259091352,9.264931181375134,9.46013043169659,0.6031180213538536,6.930570676489802,7.312256002369446,6.930570676489801,0.0,1.152944574693166,True,1.0,1.0,6.930570676489801,1.0
B1_persistence_last_rate,persistence,single_seed,42117,rolling_origin_2021-11-02,2021-11-02,91,0.0005424999981187,4.720001015812159e-05,193.08984375,0.0,1,0,91,6.097705185018902,4.06931161423215,10.662457283682826,0.5485084468651437,0.5485084468651437,11.941550052321556,15.768960264553563,64.69705963437497,0.6625369133199583,6.560209923115706,11.12250413501255,6.097705185018902,0.0,1.0118137774208642,True,0.5824175824175825,0.5824175824175825,6.097705185018902,1.0
B1_persistence_last_rate,persistence,single_seed,42117,rolling_origin_2022-03-01,2022-03-01,14,0.0006021000008331,4.270000499673188e-05,193.08984375,0.0,1,0,14,5.806703046969976,3.7309695825210145,8.215271622957598,-0.025587492530605056,0.025587492530605056,14.16006933160078,18.11293523428142,20.352355758613356,0.9169428077397865,5.987741432704819,8.423874866197284,5.806703046969976,0.0,0.9583806116303093,True,0.6428571428571429,0.6428571428571429,5.806703046969976,1.0
B1_persistence_last_rate,persistence,single_seed,42117,rolling_origin_2022-05-17,2022-05-17,89,0.0006072999967727,4.1700011934153736e-05,193.08984375,0.0,1,0,89,4.483330681766071,3.28905841366222,7.260079807563697,-1.5831557592510312,1.5831557592510312,7.767705587331461,12.95347730078467,40.5459341128316,0.8442400948757931,4.339811441332604,6.494788308860361,4.483330681766071,0.0,0.7410603011032166,True,0.6629213483146067,0.6629213483146067,4.483330681766071,1.0
B1_persistence_last_rate,persistence,single_seed,42117,rolling_origin_2022-07-19,2022-07-19,13,0.0005379999929573,4.650000482797623e-05,193.08984375,0.0,1,0,13,12.234021875457897,11.090248081428548,15.78141296811114,6.061382309853402,6.061382309853402,25.249448914809356,29.04117927395211,33.1732801488092,0.4265704414003372,12.234021875457897,15.781412968111137,12.234021875457897,0.0,2.1208814634181232,True,0.5384615384615384,0.5384615384615384,12.234021875457897,1.0
B1_persistence_last_rate,persistence,single_seed,42117,rolling_origin_2022-10-18,2022-10-18,90,0.0005195999983698,4.369999805931002e-05,193.08984375,0.0,1,0,90,7.683236611748699,4.929705402081673,15.405258626742434,-1.8129383360053128,1.8129383360053128,15.515015019135802,21.13283813348649,121.51962832417566,0.6679790665743993,6.991254536266408,11.991772540965027,7.683236611748699,0.0,1.2928691330099242,True,0.6111111111111112,0.6111111111111112,7.683236611748699,1.0
B1_persistence_last_rate,persistence,single_seed,42117,rolling_origin_2023-01-17,2023-01-17,12,0.0005281000048853,4.410000110510737e-05,193.08984375,0.0,1,0,12,8.344330682014652,6.530901558049482,10.921823564950591,-2.465538225128226,2.465538225128226,19.94354971215939,22.392170707030246,24.07210919038461,0.9025306677650232,8.12676155913782,10.741247946237282,8.344330682014652,0.0,1.3454558045397296,True,0.5833333333333334,0.5833333333333334,8.344330682014652,1.0
B1_persistence_last_rate,persistence,single_seed,42117,rolling_origin_2023-05-16,2023-05-16,88,0.0005318999901646,4.199999966658652e-05,193.08984375,0.0,1,0,88,6.278201475220701,4.775124497142844,9.724149354170072,-1.212782706670945,1.212782706670945,10.316303073178554,16.829332393176518,50.005158617500044,0.8832491366656144,5.931761337254548,9.614175199142196,6.278201475220701,0.0,1.005531302482224,True,0.48863636363636365,0.48863636363636365,6.278201475220701,1.0
B1_persistence_last_rate,persistence,single_seed,42117,rolling_origin_2023-07-25,2023-07-25,14,0.0005161000008229,4.389999958220869e-05,193.08984375,0.0,1,0,14,13.514482114265329,7.727643896250061,19.865690592691244,-12.504819733755133,12.504819733755133,35.61781212857141,40.936159572428565,49.225410655714356,0.7417843462507177,13.605228130690385,20.00074990009339,13.514482114265329,0.0,2.1661268877824336,True,0.6428571428571429,0.6428571428571429,13.514482114265329,1.0
B1_persistence_last_rate,persistence,single_seed,42117,rolling_origin_2023-11-07,2023-11-07,88,0.0004831999976886,4.119999357499182e-05,193.08984375,0.0,1,0,88,6.104172770658446,4.65818584571435,10.470596431765474,1.0242381158204608,1.0242381158204608,11.010434436428532,14.342378433642907,71.02960179557142,0.9129945556349127,5.788317097879457,9.44610943084857,6.104172770658446,0.0,0.9461383845625095,True,0.625,0.625,6.104172770658446,1.0
