model_id,logical_inner_evaluations,physical_inner_fits_executed,physical_inner_fits_reused,outer_refits,inner_fit_seconds_logical_sum,outer_fit_seconds,outer_inference_seconds,peak_ram_mb,peak_vram_mb,parameter_count_min,parameter_count_max,epoch_count_min,epoch_count_max
C01_compact_gru,2640,1040,1600,55,19846.98335160117,259.19353789964225,0.0678363003535167,1782.30859375,87.990234375,1265,10401,21,193
C02_compact_lstm,2640,1040,1600,55,18792.090434495592,198.86820500018075,0.0691502001136516,1782.3828125,88.47021484375,1681,13857,13,159
C03_causal_tcn,2640,1040,1600,55,14329.98953540728,180.35351679997984,0.0810746001079651,1573.96875,65.67529296875,961,4225,9,171
C04_probabilistic_gru_student_t,1320,520,800,55,15022.644978294149,169.7580241995165,0.10429510055109578,1883.68359375,76.08740234375,1299,4131,11,66
