model_id,family,rolling_folds,pooled_rows,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction,median_fold_mae,iqr_fold_mae,min_fold_mae,max_fold_mae,fold_mae_range,max_fold_mae_ratio_vs_b1,equal_profile_macro_mae,equal_zone_macro_mae,worst_profile_mae,worst_zone_mae,worst_10_percent_points_mae,fit_seconds_total,inference_seconds_total,peak_ram_mb_max,peak_vram_mb_max,pooled_mae_ratio_vs_b1,median_fold_mae_ratio_vs_b1
B7_two_regime_imm,imm_damped_acceleration,11,595,595,5.639718690598765,3.6083435588797457,9.983170312126028,-0.7731621212323276,0.7731621212323276,10.921186412269503,17.537753064624578,105.29997170009857,0.8525321351241558,,,6.310996203736419,0.10636633131552586,,False,0.6016806722689075,0.5899159663865546,5.743942188690407,3.780010491775455,4.045858829649234,11.811647653961774,7.765788824312541,1.2489337036525183,5.2556328331948245,5.050245950166812,10.671747158478842,7.63951004128654,16.612639643869315,0.006059900013496699,0.697610900009749,193.71484375,0.0,0.8936336686844741,0.9149024941873959
B8_student_t_robust_imm,imm_student_t_robust_observation,11,595,595,5.748334120825838,3.6377030040620504,10.241953332716756,-0.857329408178059,0.857329408178059,11.032914075419717,18.598665030446277,105.01413602445612,0.8447877419231841,,,6.310996203736419,0.08915582655198839,,False,0.6100840336134454,0.5899159663865546,5.7641742702505985,3.8995084672157514,4.040442956298899,12.129964339699322,8.089521383400424,1.4536773291888125,5.335285475929623,5.013700652250517,11.072357535884102,7.976965946215028,17.631977002175216,0.0058249999856338,0.8147705000155833,193.1953125,0.0,0.9108441734480116,0.9181250861414841
Z12_ngboost,ngboost_normal,11,595,595,5.965445639600556,3.5565443346668815,10.680510447925332,-1.0762000417330106,1.0762000417330106,12.188239037418004,19.909394591640858,94.83743820851558,0.8312108794736259,,,6.310996203736419,0.054753727142361375,,False,0.6151260504201681,0.5899159663865546,5.96751741646386,4.426715748330759,3.899114621249459,13.344686051044041,9.445571429794583,1.725917370541286,5.508857981120363,5.238107497950302,10.722026951863864,8.36211444620793,19.886791024749307,45.26937190000899,0.7871876000135667,232.1953125,0.0,0.9452462728576386,0.9505138438160876
B6_adaptive_kalman,adaptive_kalman,11,595,595,6.051286945401161,3.8245161327453197,10.689983440195126,-0.9207461674992073,0.9207461674992073,10.9803532881974,21.17222355008733,107.84438385490395,0.8309113344051869,,,6.310996203736419,0.04115186413541139,,False,0.5915966386554622,0.5899159663865546,6.205526989302061,3.159732364611668,4.342405471979374,13.96899709779214,9.626591625812766,1.1579044422180675,5.63252659250909,5.402451137134676,10.558977359601679,8.269367804881314,18.94930687702595,0.0120984999521166,0.1809802000207122,193.53125,0.0,0.9588481358645886,0.9884243144783619
Z09_lightgbm,lightgbm,11,595,595,6.079604299723289,3.762854283498406,10.820772500875567,-1.3308359608657174,1.3308359608657174,12.661822755350197,19.3486875531041,102.9521092973564,0.8267485154305431,,,6.310996203736419,0.03666487770601656,,False,0.6084033613445378,0.5899159663865546,6.074143682878949,3.479943671986658,4.239767844926444,11.815901783571162,7.576133938644718,1.4965997919422016,5.614606104832622,5.334888976679182,10.929463202546598,8.538911771736473,20.272467407231453,1.8715633999672716,0.1470425000297832,202.421875,0.0,0.9633351222939834,0.9674974125715553
Z06_hist_gradient_boosting,hist_gradient_boosting,11,595,595,6.166274604993285,3.7876466447017503,10.736111220127512,-1.1635489727319157,1.1635489727319157,12.564426784135893,19.731483663555014,104.17284221587397,0.8294489349913581,,,6.310996203736419,0.022931656757684604,,False,0.5915966386554622,0.5899159663865546,6.63592225841384,2.771143522676976,3.971161177899858,12.55975580039894,8.58859462249908,1.280077438349743,5.716794460697863,5.290924352102346,11.420265239073062,8.640993578400408,18.739890752676832,6.427415100028156,0.2985208000027337,193.5390625,0.0,0.9770683432423154,1.0569782261058396
Z08_xgboost,xgboost,11,595,595,6.179772615175355,3.606791051237451,11.155648165791684,-1.2978025266341395,1.2978025266341395,13.231633201730737,19.717068071991747,111.04406379561121,0.8158591899128096,,,6.310996203736419,0.02079284859708419,,False,0.6016806722689075,0.5899159663865546,6.2301561927746345,2.366926949468205,3.8965836582997446,12.433259345155808,8.536675686856062,1.3807982494849171,5.680023050395735,5.341243257230303,11.444903089007186,8.802125941431788,20.559481572573155,2.5534030999988317,0.1488040999975048,345.17578125,0.0,0.9792071514029158,0.9923472856620332
M2_extra_trees,extra_trees,11,595,595,6.209402666765549,3.4504832977025472,11.741574016954278,-1.2720592743073444,1.2720592743073444,12.136640875784382,22.962915830389736,108.42663229057636,0.7960080299106163,,,6.310996203736419,0.0160978605740123,,False,0.6252100840336134,0.5899159663865546,6.598435523476119,4.126679443495615,3.7929761767000665,12.487098346364194,8.694122169664126,1.4756601426354328,5.703192146179411,5.308194379867426,11.77151104864594,9.039259559100989,22.750603911270176,4.226429199974518,0.2578089999879007,194.296875,0.0,0.9839021394259877,1.0510072907853218
M1_ridge,ridge,11,595,595,6.220874446247474,3.9844227944906017,10.809194257945329,-1.7087784837095452,1.7087784837095452,11.792644302422273,19.248285835518075,107.49973646871983,0.8271190757750344,,,6.310996203736419,0.014280115940426108,,False,0.611764705882353,0.5899159663865546,6.477639485557458,2.9231148333439148,4.536402377345191,12.160501270285973,7.624098892940782,1.1155451610251685,5.737357502226585,5.2046062269753435,11.787316685126116,8.872534051322,19.347994884987873,0.2804952000296903,0.1232307999598556,193.484375,0.0,0.9857198840595739,1.0317667426131378
Z01_elastic_net,elastic_net,11,595,595,6.221946214714351,4.203574181885358,10.610671304282542,-1.1812243803985465,1.1812243803985465,11.740373116655157,17.523467269617175,102.31249633025193,0.8334110639933956,,,6.310996203736419,0.014110290380042745,,False,0.6050420168067226,0.5899159663865546,6.718550343265753,2.306843874855744,4.506042137969262,11.700752952491055,7.194710814521793,1.3929089251696052,5.792995174639521,5.287525661323106,11.294216056109532,8.539720841741545,18.389463702528417,0.49483600002713457,0.1383786999649596,193.12890625,0.0,0.9858897096199573,1.0701393336583824
