design,model_id,interval_source,dimension,segment,support_status,distribution_family,n,coverage_50,mean_width_50,median_width_50,interval_score_50,coverage_80,mean_width_80,median_width_80,interval_score_80,coverage_95,mean_width_95,median_width_95,interval_score_95,weighted_interval_score,crps,nll,quantile_crossing_rate,native_interval_status
rolling_origin,B1_persistence_last_rate,conformalized,overall,all,ELIGIBLE_SUPPORT,distribution_free_conformal,595,0.5378151260504201,9.38581408431602,9.274673283623486,21.761681880850567,0.8319327731092437,21.881320370651647,20.870955024396874,38.939994620117254,0.9495798319327731,56.42904708235189,59.789014491309885,84.33621931005472,4.170949576241127,,,,
rolling_origin,B1_persistence_last_rate,conformalized,transition,accelerating,ELIGIBLE_SUPPORT,distribution_free_conformal,67,0.3283582089552239,8.439180681135769,7.506693819306623,49.163165564473005,0.5074626865671642,20.142660400157602,17.63028839835357,91.68523501078681,0.7761194029850746,52.7414433003391,53.561492159554845,164.35477553664856,9.218286556557379,,,,
rolling_origin,B1_persistence_last_rate,conformalized,transition,decelerating,ELIGIBLE_SUPPORT,distribution_free_conformal,54,0.35185185185185186,9.21529599310706,9.236737542690385,30.565150327022597,0.7592592592592593,21.631673736343046,19.794582072165248,54.833722960130935,0.9814814814814815,54.65398410480857,50.64956106111733,126.09702606012026,5.953189259894048,,,,
rolling_origin,B1_persistence_last_rate,conformalized,transition,stable,ELIGIBLE_SUPPORT,distribution_free_conformal,413,0.6053268765133172,9.592338747011961,9.429368646365234,15.905030252767924,0.9055690072639225,22.31032389771065,21.059493861153495,28.114574502823274,0.9685230024213075,57.64156452982694,64.2444888129186,67.3795135541208,3.0905626861011126,,,,
rolling_origin,B1_persistence_last_rate,conformalized,transition,volatile_or_gap,ELIGIBLE_SUPPORT,distribution_free_conformal,61,0.47540983606557374,9.178235875216638,9.134493631524691,23.524147774328274,0.7540983606557377,21.10742987229751,19.189330811392914,40.230258093999424,0.9836065573770492,53.84139377702411,58.376435081874774,74.28363972833948,4.3641834291817805,,,,
rolling_origin,B1_persistence_last_rate,conformalized,profile,P-D01,ELIGIBLE_SUPPORT,distribution_free_conformal,52,0.4807692307692308,8.156955144416106,8.639084300875883,27.839349206756633,0.6923076923076923,18.61356477885161,18.74932485307722,48.015393255245044,0.9038461538461539,47.36238791379832,49.41556851608993,89.72878562127545,5.124976727306386,,,,
rolling_origin,B1_persistence_last_rate,conformalized,profile,P-H01,ELIGIBLE_SUPPORT,distribution_free_conformal,47,0.40425531914893614,9.78045649542362,9.395440170809707,31.008350850120102,0.7872340425531915,22.961528411125474,22.56973273097259,53.501191141743924,0.9148936170212766,60.41010844483381,57.60805291128588,124.85168310584002,5.913264091879727,,,,
rolling_origin,B1_persistence_last_rate,conformalized,profile,P-H02,ELIGIBLE_SUPPORT,distribution_free_conformal,51,0.4117647058823529,8.211874326514208,7.2845403321475715,30.94110583496945,0.6274509803921569,19.301011962853163,17.80286771933592,52.969689911002774,0.9019607843137255,49.322170625771584,53.2681222204091,85.14506243470134,5.615006593269178,,,,
rolling_origin,B1_persistence_last_rate,conformalized,profile,P-H03,ELIGIBLE_SUPPORT,distribution_free_conformal,49,0.4897959183673469,8.600718701433264,8.7627032881351,20.875312984968097,0.7755102040816326,19.989040164873877,18.287342372910402,36.50603012974605,0.9591836734693877,50.75204183483153,49.44735034737526,80.66594433516747,4.003238926235169,,,,
rolling_origin,B1_persistence_last_rate,conformalized,profile,P-H04,ELIGIBLE_SUPPORT,distribution_free_conformal,60,0.2833333333333333,7.682424771586978,7.037318882431414,44.83619400232131,0.5833333333333334,17.46857275433246,13.455476075240355,86.46632823618447,0.8333333333333334,43.474663585503436,28.147808042788473,176.28763021712996,8.689584946597815,,,,
