model_id,training_campaigns,training_rows,audit_rows,audit_target_date,hyperparameters_retuned,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction
B1_persistence_last_rate,5,217,88,2023-11-07,False,88,6.104172770658447,4.65818584571435,10.470596431765474,1.0242381158204608,1.0242381158204608,11.010434436428532,14.342378433642907,71.02960179557142,0.9129945556349127,,,,,,False,0.625,0.625
B1_persistence_last_rate,9,423,88,2023-11-07,False,88,6.104172770658447,4.65818584571435,10.470596431765474,1.0242381158204608,1.0242381158204608,11.010434436428532,14.342378433642907,71.02960179557142,0.9129945556349127,,,,,,False,0.625,0.625
B1_persistence_last_rate,14,708,88,2023-11-07,False,88,6.104172770658447,4.65818584571435,10.470596431765474,1.0242381158204608,1.0242381158204608,11.010434436428532,14.342378433642907,71.02960179557142,0.9129945556349127,,,,,,False,0.625,0.625
B1_persistence_last_rate,18,823,88,2023-11-07,False,88,6.104172770658447,4.65818584571435,10.470596431765474,1.0242381158204608,1.0242381158204608,11.010434436428532,14.342378433642907,71.02960179557142,0.9129945556349127,,,,,,False,0.625,0.625
B3_profile_robust_trend,5,217,88,2023-11-07,False,88,8.323925585119087,5.804035871862555,13.291856808545269,-0.4120691850395532,0.4120691850395532,15.932025254514125,23.738426701102146,72.54711741184246,0.8597913215932208,,,,,,False,0.5568181818181818,0.625
B3_profile_robust_trend,9,423,88,2023-11-07,False,88,8.379558993311212,5.804035871862555,13.404262295998144,-0.48102881434214145,0.48102881434214145,16.586438885796507,24.49396306745739,72.54711741184246,0.8574098838513653,,,,,,False,0.5568181818181818,0.625
B3_profile_robust_trend,14,708,88,2023-11-07,False,88,8.456329059266038,5.804035871862555,13.549693823912293,-0.5728712755495565,0.5728712755495565,17.36015517542946,25.157148458571346,72.54711741184246,0.854298993732062,,,,,,False,0.5568181818181818,0.625
B3_profile_robust_trend,18,823,88,2023-11-07,False,88,8.486265911541757,5.804035871862555,13.609277317725406,-0.6144848011775511,0.6144848011775511,17.67599542771814,25.427868674818786,72.54711741184246,0.8530147635671136,,,,,,False,0.5568181818181818,0.625
B5_fixed_kalman,5,217,88,2023-11-07,False,88,7.194351417200138,4.096651250384224,12.969706758703836,-0.8303176357725096,0.8303176357725096,12.69544292525629,26.857107389041722,73.30311679054536,0.8665053375669348,,,,,,False,0.5795454545454546,0.625
B5_fixed_kalman,9,423,88,2023-11-07,False,88,7.194351417200138,4.096651250384224,12.969706758703836,-0.8303176357725096,0.8303176357725096,12.69544292525629,26.857107389041722,73.30311679054536,0.8665053375669348,,,,,,False,0.5795454545454546,0.625
B5_fixed_kalman,14,708,88,2023-11-07,False,88,7.194351417200138,4.096651250384224,12.969706758703836,-0.8303176357725096,0.8303176357725096,12.69544292525629,26.857107389041722,73.30311679054536,0.8665053375669348,,,,,,False,0.5795454545454546,0.625
B5_fixed_kalman,18,823,88,2023-11-07,False,88,7.194351417200138,4.096651250384224,12.969706758703836,-0.8303176357725096,0.8303176357725096,12.69544292525629,26.857107389041722,73.30311679054536,0.8665053375669348,,,,,,False,0.5795454545454546,0.625
B6_adaptive_kalman,5,217,88,2023-11-07,False,88,6.781303016453992,4.146619788916774,12.104677250195847,-0.48408628025848605,0.48408628025848605,12.134547941792306,21.276615640143085,72.74420010156587,0.8837186631380222,,,,,,False,0.5795454545454546,0.625
B6_adaptive_kalman,9,423,88,2023-11-07,False,88,6.7697654738219315,4.158880500055598,12.07123615190452,-0.46542145052053063,0.46542145052053063,12.099240524056649,21.08976976978459,72.7063263488858,0.884360267061949,,,,,,False,0.5909090909090909,0.625
B6_adaptive_kalman,14,708,88,2023-11-07,False,88,6.7703216033847475,4.15860721497106,12.072327743146028,-0.4652632670003842,0.4652632670003842,12.090658311055796,21.100570114508013,72.72486926129872,0.8843393517181433,,,,,,False,0.5909090909090909,0.625
B6_adaptive_kalman,18,823,88,2023-11-07,False,88,6.775352131647586,4.153404953874005,12.086702282509183,-0.4735242100836958,0.4735242100836958,12.107868293150585,21.17694536690008,72.7348537186897,0.8840637531114188,,,,,,False,0.5909090909090909,0.625
B7_two_regime_imm,5,217,88,2023-11-07,False,88,6.01359264185854,3.5698244416013067,11.358109733379509,0.5020106791250647,0.5020106791250647,11.07082650429994,20.24002192982606,75.19699075955526,0.8976198626097419,,,,,,False,0.6136363636363636,0.625
B7_two_regime_imm,9,423,88,2023-11-07,False,88,6.015032139526932,3.583877036720498,11.340380768256987,0.5250746874470685,0.5250746874470685,11.096986514609677,20.02983025753636,75.19019919345142,0.8979392251322497,,,,,,False,0.6136363636363636,0.625
B7_two_regime_imm,14,708,88,2023-11-07,False,88,6.017183040711829,3.5916836107121486,11.332915147400438,0.5368871039655579,0.5368871039655579,11.114693652345466,19.924054627843265,75.189668878397,0.8980735585839819,,,,,,False,0.6136363636363636,0.625
B7_two_regime_imm,18,823,88,2023-11-07,False,88,6.014953289421121,3.583216678876642,11.341166772704677,0.5239698014585855,0.5239698014585855,11.09752541788595,20.03911944814921,75.19063550100877,0.8979250769295285,,,,,,False,0.6136363636363636,0.625
B8_student_t_robust_imm,5,217,88,2023-11-07,False,88,5.805216763856513,3.566255614158262,10.934067745488237,0.3311357756028648,0.3311357756028648,10.5437265805122,17.11349800624586,75.0217856350145,0.9051216532804134,,,,,,False,0.6363636363636364,0.625
B8_student_t_robust_imm,9,423,88,2023-11-07,False,88,5.83151260123883,3.579772082232585,10.947076372389832,0.3166794961389288,0.3166794961389288,10.7408782089046,16.775745414056285,75.03578142929929,0.9048957590846146,,,,,,False,0.625,0.625
B8_student_t_robust_imm,14,708,88,2023-11-07,False,88,5.833819728577933,3.58726691974837,10.946512877714946,0.32116726671350104,0.32116726671350104,10.873164057446873,16.604063356996658,75.04466224316357,0.9049055497085612,,,,,,False,0.625,0.625
B8_student_t_robust_imm,18,823,88,2023-11-07,False,88,5.831074817936809,3.579137660376018,10.946864735809529,0.31653196232962716,0.31653196232962716,10.737018066769634,16.79078039582909,75.03512765017922,0.9048994362932272,,,,,,False,0.625,0.625
M1_ridge,5,217,88,2023-11-07,False,88,7.168850524701563,4.311774294840296,12.595306552684614,0.8457320641978474,0.8457320641978474,11.618646779662285,19.24896895800932,71.5950020889079,0.8741013504016968,,,,,,False,0.6022727272727273,0.625
