model_id,reference_model_id,cluster_column,clusters,paired_rows,mean_absolute_error_delta,lower_025,upper_975,improved_cluster_fraction,replicates,seed,interpretation
Z01_elastic_net,B7_two_regime_imm,profile_id,14,595,0.5822275241155848,0.07229980053531605,1.1902620272728115,0.14285714285714285,2000,42117,sensitivity_only_not_iid_inference
Z01_elastic_net,B7_two_regime_imm,target_date,11,595,0.5822275241155848,0.23524619953533812,0.9005965237015635,0.36363636363636365,2000,42117,sensitivity_only_not_iid_inference
Z08_xgboost,B1_persistence_last_rate,profile_id,14,595,-0.1312235885610646,-0.926787028945311,0.7106919417708314,0.7142857142857143,2000,42117,sensitivity_only_not_iid_inference
Z08_xgboost,B1_persistence_last_rate,target_date,11,595,-0.1312235885610646,-0.8796920225947772,0.6947547853220916,0.5454545454545454,2000,42117,sensitivity_only_not_iid_inference
Z08_xgboost,B7_two_regime_imm,profile_id,14,595,0.540053924576588,-0.07794084792581212,1.3206671976333018,0.5,2000,42117,sensitivity_only_not_iid_inference
Z08_xgboost,B7_two_regime_imm,target_date,11,595,0.540053924576588,-0.12691173694904576,1.2332813364769166,0.36363636363636365,2000,42117,sensitivity_only_not_iid_inference
Z09_lightgbm,B1_persistence_last_rate,profile_id,14,595,-0.23139190401313017,-0.9335675895519832,0.4959319009257573,0.7142857142857143,2000,42117,sensitivity_only_not_iid_inference
Z09_lightgbm,B1_persistence_last_rate,target_date,11,595,-0.23139190401313017,-0.9359659075537358,0.38660926651201183,0.6363636363636364,2000,42117,sensitivity_only_not_iid_inference
Z09_lightgbm,B7_two_regime_imm,profile_id,14,595,0.43988560912452246,-0.05376037356627757,1.0636442784630025,0.35714285714285715,2000,42117,sensitivity_only_not_iid_inference
Z09_lightgbm,B7_two_regime_imm,target_date,11,595,0.43988560912452246,-0.10361219356947302,0.9821615602088143,0.45454545454545453,2000,42117,sensitivity_only_not_iid_inference
