design,model_id,scope,group,rows,groups,mae
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H01,20,1,6.413543062702831
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H02,20,1,11.804236154141197
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H03,19,1,6.007073743376705
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H04,20,1,17.65614839154538
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H05,13,1,6.691933355577727
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H06,17,1,2.478958692114253
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H07,19,1,3.5525265586370454
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-V01,18,1,3.588011323068905
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-V02,21,1,6.1555128835588775
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-V03,21,1,3.1292375552727236
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-V04,21,1,3.893340471811282
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-V05,17,1,2.299820332758712
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-V06,19,1,3.595455114763947
spatiotemporal_leave_profile_out,B7_two_regime_imm,pooled_micro,all,266,14,5.742647738501244
spatiotemporal_leave_profile_out,B7_two_regime_imm,equal_profile_macro,all_equal_weight,266,14,5.676284587744159
spatiotemporal_leave_profile_out,B7_two_regime_imm,worst_profile,P-H04,20,1,17.808843241694127
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-D01,21,1,7.156622495777024
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-H01,20,1,6.536645399502381
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-H02,20,1,9.36867900404376
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-H03,19,1,4.734816767164495
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-H04,20,1,17.808843241694127
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-H05,13,1,6.870281638980274
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-H06,17,1,2.2224958698238786
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-H07,19,1,3.5980983248113505
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-V01,18,1,3.604291097881221
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-V02,21,1,5.792397312146166
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-V03,21,1,2.9491633880935537
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-V04,21,1,3.105706906365542
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-V05,17,1,2.3991885386048053
spatiotemporal_leave_profile_out,B7_two_regime_imm,by_profile,P-V06,19,1,3.3207542435296467
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,pooled_micro,all,266,14,5.878976482486816
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,equal_profile_macro,all_equal_weight,266,14,5.7976360841399375
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,worst_profile,P-H04,20,1,19.101752709101426
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-D01,21,1,7.93717399771431
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-H01,20,1,6.658242933095607
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-H02,20,1,10.051637894936384
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-H03,19,1,4.05808955982119
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-H04,20,1,19.101752709101426
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-H05,13,1,6.720648669064833
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-H06,17,1,2.218921906015608
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-H07,19,1,3.5566036453662804
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-V01,18,1,3.6069218731882113
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-V02,21,1,5.526697504103406
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-V03,21,1,2.9335623719543684
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-V04,21,1,3.099889581444372
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-V05,17,1,2.4005383938440534
spatiotemporal_leave_profile_out,B8_student_t_robust_imm,by_profile,P-V06,19,1,3.2962241383090656
spatiotemporal_leave_profile_out,M1_ridge,pooled_micro,all,266,14,7.724834947263837
spatiotemporal_leave_profile_out,M1_ridge,equal_profile_macro,all_equal_weight,266,14,7.59994880733599
spatiotemporal_leave_profile_out,M1_ridge,worst_profile,P-H04,20,1,19.67114619715235
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-D01,21,1,15.221993170296416
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-H01,20,1,8.81996139030503
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-H02,20,1,12.16023152692197
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-H03,19,1,6.445096515067459
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-H04,20,1,19.67114619715235
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-H05,13,1,7.636124516918662
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-H06,17,1,4.425071700495361
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-H07,19,1,4.599954353505549
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-V01,18,1,4.443031417545372
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-V02,21,1,3.919295831462386
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-V03,21,1,5.042857232434611
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-V04,21,1,6.39204632052177
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-V05,17,1,4.737044541476973
spatiotemporal_leave_profile_out,M1_ridge,by_profile,P-V06,19,1,2.8854285885999307
spatiotemporal_leave_profile_out,M2_extra_trees,pooled_micro,all,266,14,7.677224713511985
spatiotemporal_leave_profile_out,M2_extra_trees,equal_profile_macro,all_equal_weight,266,14,7.4791398209543445
spatiotemporal_leave_profile_out,M2_extra_trees,worst_profile,P-D01,21,1,18.92666050794328
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-D01,21,1,18.92666050794328
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-H01,20,1,11.261262207451079
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-H02,20,1,13.166727534292525
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-H03,19,1,4.916370301177481
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-H04,20,1,16.775852820463538
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-H05,13,1,6.220629501828285
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-H06,17,1,2.4097224438821008
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-H07,19,1,6.865998125344293
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-V01,18,1,4.0026293893876606
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-V02,21,1,5.136822294924384
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-V03,21,1,3.9355433192630573
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-V04,21,1,3.755653716242512
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-V05,17,1,2.938384765249826
