design,model_id,dimension,segment,rows,points,profiles,zones,support_status,mae,rmse,bias
rolling_origin,B5_fixed_kalman,missing_campaigns,0,158,51,8,4,ELIGIBLE_SUPPORT,8.45244507735581,15.11820607421134,-3.3613666510385167
rolling_origin,B5_fixed_kalman,missing_campaigns,1,408,96,14,4,ELIGIBLE_SUPPORT,5.409327452160315,9.303843929838743,-0.4607000087646097
rolling_origin,B5_fixed_kalman,missing_campaigns,ge_2,29,28,11,3,ELIGIBLE_SUPPORT,7.120394868122257,12.459991083636151,0.9205955291489096
rolling_origin,B5_fixed_kalman,history,3_5,15,12,8,3,DESCRIPTIVE_LOW_SUPPORT,3.9559872827646716,4.7099959335157875,-0.6204447898167074
rolling_origin,B5_fixed_kalman,history,6_9,319,98,14,4,ELIGIBLE_SUPPORT,5.372059338438394,9.011088989496905,-0.48595203702407247
rolling_origin,B5_fixed_kalman,history,ge_10,261,89,14,4,ELIGIBLE_SUPPORT,7.570715079217834,13.79883083295162,-2.023137518914935
rolling_origin,B5_fixed_kalman,pooled_transition,transition,182,67,14,4,ELIGIBLE_SUPPORT,10.888410280629364,17.99234756474146,-4.952163493806399
rolling_origin,B6_adaptive_kalman,transition,accelerating,67,33,10,3,ELIGIBLE_SUPPORT,14.99284876789885,20.34158234337482,-11.502696444611528
rolling_origin,B6_adaptive_kalman,transition,decelerating,54,34,8,4,ELIGIBLE_SUPPORT,7.624885130777215,16.451877500411342,-1.7069496180119543
rolling_origin,B6_adaptive_kalman,transition,stable,413,95,14,4,ELIGIBLE_SUPPORT,4.266847810449875,6.400088192569617,0.5370538468701747
rolling_origin,B6_adaptive_kalman,transition,volatile_or_gap,61,46,13,4,ELIGIBLE_SUPPORT,6.918736430929502,11.968533689769426,1.5280120121673333
rolling_origin,B6_adaptive_kalman,horizon,91_150,94,47,7,4,ELIGIBLE_SUPPORT,8.248688997729912,15.325056267113496,-3.6405629385198037
rolling_origin,B6_adaptive_kalman,horizon,gt_150,449,98,14,4,ELIGIBLE_SUPPORT,5.207964747145308,8.854491690198328,-0.031002924585689096
rolling_origin,B6_adaptive_kalman,horizon,le_90,52,32,5,3,ELIGIBLE_SUPPORT,9.360822985746836,14.354689405005242,-3.6867450058113933
rolling_origin,B6_adaptive_kalman,missing_campaigns,0,158,51,8,4,ELIGIBLE_SUPPORT,7.998511932263053,14.283154290707643,-2.9386780230050236
rolling_origin,B6_adaptive_kalman,missing_campaigns,1,408,96,14,4,ELIGIBLE_SUPPORT,5.263207508957555,8.877144574459743,-0.28908392085924633
rolling_origin,B6_adaptive_kalman,missing_campaigns,ge_2,29,28,11,3,ELIGIBLE_SUPPORT,6.529730467636073,11.155358246704449,1.1866688856323397
rolling_origin,B6_adaptive_kalman,history,3_5,15,12,8,3,DESCRIPTIVE_LOW_SUPPORT,3.853009623873977,4.457360510677313,-0.8242829993112395
rolling_origin,B6_adaptive_kalman,history,6_9,319,98,14,4,ELIGIBLE_SUPPORT,5.193674917259881,8.550664182231348,-0.29666767680879064
rolling_origin,B6_adaptive_kalman,history,ge_10,261,89,14,4,ELIGIBLE_SUPPORT,7.225817201339766,13.038805508488911,-1.689052627472627
rolling_origin,B6_adaptive_kalman,pooled_transition,transition,182,67,14,4,ELIGIBLE_SUPPORT,10.100591136252154,16.752418657066578,-4.228830815491267
rolling_origin,B7_two_regime_imm,transition,accelerating,67,33,10,3,ELIGIBLE_SUPPORT,11.491114638638614,15.495812293863322,-5.878256133800783
rolling_origin,B7_two_regime_imm,transition,decelerating,54,34,8,4,ELIGIBLE_SUPPORT,8.734274786334657,17.079870562603436,-2.0164141435546044
rolling_origin,B7_two_regime_imm,transition,stable,413,95,14,4,ELIGIBLE_SUPPORT,4.084246334645622,6.32642498231291,-0.019077033368625866
rolling_origin,B7_two_regime_imm,transition,volatile_or_gap,61,46,13,4,ELIGIBLE_SUPPORT,7.004645335192877,13.38526617422216,0.8291291371247329
rolling_origin,B7_two_regime_imm,horizon,91_150,94,47,7,4,ELIGIBLE_SUPPORT,7.527483229470787,14.238885688529633,-2.3017611662300848
