point_id,profile_id,point_type,chainage_m,chainage_normalized_profile,kzt,kzt__standard_uncertainty,kzt__donor_distance_m,kzt__provenance,ko,ko__standard_uncertainty,ko__donor_distance_m,ko__provenance,seismic_energy_J_m2,seismic_energy_J_m2__standard_uncertainty,seismic_energy_J_m2__donor_distance_m,seismic_energy_J_m2__provenance,fill_density,fill_density__standard_uncertainty,fill_density__donor_distance_m,fill_density__provenance,fault_distance_m,fault_distance_m__standard_uncertainty,fault_distance_m__donor_distance_m,fault_distance_m__provenance,lithology,lithology__standard_uncertainty,lithology__donor_distance_m,lithology__provenance,terrain_TRI_relative,terrain_TRI_relative__standard_uncertainty,terrain_TRI_relative__donor_distance_m,terrain_TRI_relative__provenance,terrain_roughness_relative,terrain_roughness_relative__standard_uncertainty,terrain_roughness_relative__donor_distance_m,terrain_roughness_relative__provenance
P-V01-W003,P-V01,WORK,221.7446559,0.4382795522,0.573743016759777,0.032,0,D,0.387988826815642,0.014,0,D,27.5,1.2,0,D,0.834710717201233,0.08,22.88379061,C/R,79.9730616157911,25,22.88379061,C/R,carnallite,,0,D,,0.1,22.88379061,C/R,,0.1,22.88379061,C/R
P-V01-W004,P-V01,WORK,281.0873651,0.4837696075,0.587150837988827,0.032,0,D,0.387988826815642,0.014,0,D,27.5,1.2,0,D,0.851239681243896,0.08,24.71664101,C/R,11.4932199337986,25,24.71664101,C/R,carnallite,,0,D,,0.1,24.71664101,C/R,,0.1,24.71664101,C/R
P-V01-W005,P-V01,WORK,415.2943192,0.5866479871,0.587150837988827,0.032,0,D,0.382122905027933,0.014,0,D,27.5,1.2,0,D,0.851239681243896,0.08,17.80064492,C/R,102.959501483388,25,17.80064492,C/R,carnallite,,0,D,,0.1,17.80064492,C/R,,0.1,17.80064492,C/R
P-V01-W006,P-V01,WORK,507.0468205,0.6569822609,0.600558659217877,0.032,0,D,0.387988826815642,0.014,0,D,27.5,1.2,0,D,0.826446294784546,0.08,13.17799028,C/R,194.425783032978,25,13.17799028,C/R,carnallite,,0,D,,0.1,13.17799028,C/R,,0.1,13.17799028,C/R
P-V01-W007,P-V01,WORK,604.5204894,0.7317021827,0.600558659217877,0.032,0,D,0.387988826815642,0.014,0,D,27.5,1.2,0,D,0.842975199222565,0.08,18.31833337,C/R,275.387872674686,25,18.31833337,C/R,carnallite,,0,D,,0.1,18.31833337,C/R,,0.1,18.31833337,C/R
P-V01-REF-B,P-V01,REF,954.5204894,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V02-REF-A,P-V02,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V02-W001,P-V02,WORK,0,0.3145096998,0.587150837988827,0.032,0,D,0.495530726256983,0.014,0,D,7.5,1.2,0,D,0.892561972141266,0.08,18.27914303,C/R,98.0892182051995,25,18.27914303,C/R,carnallite,,0,D,0.166666666666667,0.1,18.27914303,C/R,0.288888888888889,0.1,18.27914303,C/R
P-V02-W002,P-V02,WORK,70.30907674,0.3776893759,0.587150837988827,0.032,0,D,0.495530726256983,0.014,0,D,7.5,1.2,0,D,0.892561972141266,0.08,33.9050644,C/R,64.9754912972371,25,33.9050644,C/R,replacement_rock_salt,,26.39603694,R,,0.1,33.9050644,C/R,,0.1,33.9050644,C/R
P-V02-W003,P-V02,WORK,151.8457715,0.4509581799,0.402564713212284,0.072,50,R,0.479888268156425,0.014,0,D,7.5,1.2,0,D,0.876033067703247,0.08,25.68549231,C/R,38.1462750941436,25,25.68549231,C/R,replacement_rock_salt,,0,D,0.0444444444444444,0.1,25.68549231,C/R,0.0679738562091504,0.1,25.68549231,C/R
P-V02-W004,P-V02,WORK,202.5551256,0.496525562,0.323463687150838,0.032,0,D,0.442737430167598,0.014,0,D,7.5,1.2,0,D,0.859504103660583,0.08,25.91162928,C/R,4.76784068658537,25,25.91162928,C/R,carnallite,,0,D,0.327777777777778,0.1,25.91162928,C/R,0.832679738562092,0.1,25.91162928,C/R
P-V02-W005,P-V02,WORK,252.3942653,0.5413109702,0.542458100558659,0.032,0,D,0.409497206703911,0.014,0,D,7.5,1.2,0,D,0.834710717201233,0.08,25.85881559,C/R,15.2165828176424,25,25.85881559,C/R,carnallite,,0,D,0.233333333333333,0.1,25.85881559,C/R,0.349019607843137,0.1,25.85881559,C/R
P-V02-W006,P-V02,WORK,335.3148574,0.6158233431,0.542458100558659,0.032,0,D,0.65,0.014,0,D,7.5,1.2,0,D,0.909090936183929,0.08,16.869605,C/R,66.3613646428134,25,16.869605,C/R,carnallite,,0,D,0.305555555555556,0.1,16.869605,C/R,0.588235294117647,0.1,16.869605,C/R
P-V02-W007,P-V02,WORK,412.8432611,0.6854903002,0.537988826815642,0.032,0,D,0.407541899441341,0.014,0,D,7.5,1.2,0,D,0.925619840621948,0.08,26.85512828,C/R,101.796762171313,25,26.85512828,C/R,carnallite,,0,D,0.322222222222222,0.1,26.85512828,C/R,0.615686274509804,0.1,26.85512828,C/R
P-V02-REF-B,P-V02,REF,762.8432611,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V03-REF-A,P-V03,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V03-W001,P-V03,WORK,0,0.3416711347,0.475266571165867,0.072,50,R,0.495530726256983,0.014,0,D,7.5,1.2,0,D,0.793388426303864,0.08,29.88107122,C/R,365.126021095514,25,29.88107122,C/R,mixed_salts,,50,R,0.355555555555556,0.1,29.88107122,C/R,0.464052287581699,0.1,29.88107122,C/R
P-V03-W002,P-V03,WORK,63.06157197,0.4032320457,0.497765363128492,0.032,0,D,0.495530726256983,0.014,0,D,7.5,1.2,0,D,0.809917330741882,0.08,19.14760099,C/R,362.549999758179,25,19.14760099,C/R,mixed_salts,,0,D,0.394444444444444,0.1,19.14760099,C/R,0.580392156862745,0.1,19.14760099,C/R
P-V03-W003,P-V03,WORK,121.9164876,0.4606864051,0.484357541899441,0.032,0,D,0.495530726256983,0.014,0,D,7.5,2.7,50,R,0.842975199222565,0.08,14.28064128,C/R,359.973978420844,25,14.28064128,C/R,mixed_salts,,0,D,0.338888888888889,0.1,14.28064128,C/R,0.677124183006536,0.1,14.28064128,C/R
P-V03-W004,P-V03,WORK,165.353663,0.5030899166,0.452995210078962,0.072,50,R,0.495530726256983,0.014,0,D,7.5,1.2,0,D,0.892561972141266,0.08,17.59189542,C/R,357.397957083509,25,17.59189542,C/R,mixed_salts,,0,D,0.227777777777778,0.1,17.59189542,C/R,0.350326797385621,0.1,17.59189542,C/R
P-V03-W005,P-V03,WORK,249.1277021,0.5848704051,0.410750534489897,0.072,50,R,0.618715083798883,0.014,0,D,7.5,1.2,0,D,0.909090936183929,0.08,26.17977193,C/R,354.821935746175,25,26.17977193,C/R,mixed_salts,,0,D,0.316666666666667,0.1,26.17977193,C/R,0.471895424836601,0.1,26.17977193,C/R
P-V03-W006,P-V03,WORK,288.5315887,0.623336607,0.412233908242754,0.072,50,R,0.495530726256983,0.014,0,D,7.5,1.2,0,D,0.867768585681915,0.08,17.94016703,C/R,352.24591440884,25,17.94016703,C/R,carnallite,,0,D,0.0666666666666667,0.1,17.94016703,C/R,0.124183006535948,0.1,17.94016703,C/R
P-V03-W007,P-V03,WORK,324.376848,0.6583288653,0.399672160948046,0.072,50,R,0.495530726256983,0.014,0,D,7.5,2.618103524,36.35058729,R,0.867768585681915,0.08,17.6103009,C/R,350.373116638985,25,17.6103009,C/R,replacement_rock_salt,,0,D,0.161111111111111,0.1,17.6103009,C/R,0.27843137254902,0.1,17.6103009,C/R
P-V03-REF-B,P-V03,REF,674.376848,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V04-REF-A,P-V04,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V04-W001,P-V04,WORK,0,0.3331409481,0.287709497206704,0.032,0,D,0.307821229050279,0.014,0,D,27.5,1.2,0,D,0.900826454162598,0.08,22.9325544,C/R,460.573557228131,25,22.9325544,C/R,carnallite,,0,D,0.0166666666666667,0.1,22.9325544,C/R,0.0522875816993464,0.1,22.9325544,C/R
P-V04-W002,P-V04,WORK,41.59435355,0.3727317549,0.287709497206704,0.032,0,D,0.307821229050279,0.014,0,D,27.5,1.2,0,D,0.900826454162598,0.08,18.75403407,C/R,460.573557228131,25,18.75403407,C/R,carnallite,,0,D,0.0166666666666667,0.1,18.75403407,C/R,0.0522875816993464,0.1,18.75403407,C/R
P-V04-W003,P-V04,WORK,114.3582287,0.4419906873,0.238547486033519,0.032,0,D,0.327374301675978,0.014,0,D,27.5,1.2,0,D,0.826446294784546,0.08,6.570205917,C/R,513.635668466929,25,6.570205917,C/R,carnallite,,0,D,0.505555555555556,0.1,6.570205917,C/R,0.359477124183006,0.1,6.570205917,C/R
P-V04-W004,P-V04,WORK,206.7155004,0.5298992275,0.234078212290503,0.032,0,D,0.343016759776536,0.014,0,D,27.5,1.2,0,D,0.983471095561981,0.08,14.13404802,C/R,477.422491878379,25,14.13404802,C/R,carnallite,,0,D,0.833333333333333,0.1,14.13404802,C/R,0.301960784313726,0.1,14.13404802,C/R
P-V04-W005,P-V04,WORK,231.2798767,0.5532803692,0.234078212290503,0.032,0,D,0.343016759776536,0.014,0,D,27.5,1.2,0,D,0.983471095561981,0.08,10.58789191,C/R,477.422491878379,25,10.58789191,C/R,carnallite,,0,D,0.833333333333333,0.1,10.58789191,C/R,0.301960784313726,0.1,10.58789191,C/R
P-V04-W006,P-V04,WORK,278.0554892,0.5978028603,0.220670391061452,0.032,0,D,0.350837988826816,0.014,0,D,27.5,1.2,0,D,0.966942131519318,0.08,7.402876816,C/R,444.80129253628,25,7.402876816,C/R,carnallite,,0,D,0.3,0.1,7.402876816,C/R,0.362091503267974,0.1,7.402876816,C/R
P-V04-W007,P-V04,WORK,350.6063634,0.6668590519,0.184916201117318,0.032,0,D,0.65,0.014,0,D,26.3932793533762,2.563371864,27.22864405,R,0.942148745059967,0.08,2.939048606,C/R,394.415472684144,25,2.939048606,C/R,carnallite,,0,D,0.216666666666667,0.1,2.939048606,C/R,0.281045751633987,0.1,2.939048606,C/R
P-V04-REF-B,P-V04,REF,700.6063634,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V05-REF-A,P-V05,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V05-W001,P-V05,WORK,0,0.3321106435,0.238547486033519,0.032,0,D,0.65,0.014,0,D,7.5,2.668461748,44.7436247,R,0.677685976028442,0.08,19.94748616,C/R,696.262391746623,25,19.94748616,C/R,carnallite,,0,D,0.377777777777778,0.1,19.94748616,C/R,0.70718954248366,0.1,19.94748616,C/R
P-V05-W002,P-V05,WORK,96.75573535,0.4239209565,0.193854748603352,0.032,0,D,0.65,0.014,0,D,7.5,1.2,0,D,0.611570239067078,0.08,17.95823149,C/R,694.046533193539,25,17.95823149,C/R,carnallite,,0,D,0.344444444444444,0.1,17.95823149,C/R,0.777777777777778,0.1,17.95823149,C/R
P-V05-W003,P-V05,WORK,114.6168315,0.4408691283,0.193854748603352,0.032,0,D,0.65,0.014,0,D,7.5,1.2,0,D,0.611570239067078,0.08,2.847504022,C/R,694.046533193539,25,2.847504022,C/R,carnallite,,0,D,0.344444444444444,0.1,2.847504022,C/R,0.777777777777778,0.1,2.847504022,C/R
P-V05-W004,P-V05,WORK,179.4891271,0.5024256422,0.184916201117318,0.032,0,D,0.65,0.014,0,D,7.5,1.2,0,D,0.586776852607727,0.08,15.26917885,C/R,692.877136012438,25,15.26917885,C/R,carnallite,,0,D,,0.1,15.26917885,C/R,,0.1,15.26917885,C/R
P-V05-W005,P-V05,WORK,251.8665968,0.5711037222,0.229608938547486,0.032,0,D,0.65,0.014,0,D,7.5,1.2,0,D,0.669421494007111,0.08,12.93724701,C/R,690.538341650238,25,12.93724701,C/R,carnallite,,0,D,0.0555555555555556,0.1,12.93724701,C/R,0.0967320261437908,0.1,12.93724701,C/R
P-V05-W006,P-V05,WORK,283.3494134,0.600977375,0.229608938547486,0.032,0,D,0.65,0.014,0,D,7.5,1.2,0,D,0.669421494007111,0.08,19.07544803,C/R,690.538341650238,25,19.07544803,C/R,carnallite,,0,D,0.0555555555555556,0.1,19.07544803,C/R,0.0967320261437908,0.1,19.07544803,C/R
P-V05-W007,P-V05,WORK,353.8656523,0.6678893565,0.292178770949721,0.032,0,D,0.387988826815642,0.014,0,D,7.5,1.2,0,D,0.727272748947144,0.08,7.731500851,C/R,688.616105239907,25,7.731500851,C/R,carnallite,,32.18920147,R,0.0222222222222222,0.1,7.731500851,C/R,0.0326797385620915,0.1,7.731500851,C/R
P-V05-REF-B,P-V05,REF,703.8656523,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V06-REF-A,P-V06,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V06-W001,P-V06,WORK,0,0.287816148,0.287803436749491,0.06950877302,34.42983138,R,0.65,0.014,0,D,7.5,1.2,0,D,0.0,0.08,30.04908765,C/R,107.385324123165,25,30.04908765,C/R,sylvinite,,0,D,,0.1,30.04908765,C/R,,0.1,30.04908765,C/R
P-V06-W002,P-V06,WORK,97.75354747,0.3682020037,0.288833427748755,0.07371321678,60.70760487,R,0.65,0.014,0,D,7.5,1.2,0,D,0.0,0.08,19.93918599,C/R,66.0462325776325,25,19.93918599,C/R,sylvinite,,0,D,0.138888888888889,0.1,19.93918599,C/R,0.445751633986928,0.1,19.93918599,C/R
P-V06-W003,P-V06,WORK,140.165626,0.4030788067,0.288619801202108,0.08092177828,105.7611143,R,0.65,0.014,0,D,7.5,1.2,0,D,0.0,0.08,13.15677055,C/R,24.7071410321003,25,13.15677055,C/R,sylvinite,,34.42983138,R,,0.1,13.15677055,C/R,,0.1,13.15677055,C/R
P-V06-W004,P-V06,WORK,283.173133,0.5206784347,0.287709497206704,0.032,0,D,0.65,0.014,0,D,7.5,1.2,0,D,0.0,0.08,8.258199632,C/R,99.310133604496,25,8.258199632,C/R,sylvinite,,0,D,0.322222222222222,0.1,8.258199632,C/R,0.580392156862745,0.1,8.258199632,C/R
P-V06-W005,P-V06,WORK,354.5290011,0.5793566378,0.287204137336672,0.08,100,R,0.65,0.014,0,D,7.5,1.2,0,D,0.0,0.08,25.67592577,C/R,181.98831669556,25,25.67592577,C/R,sylvinite,,0,D,0.183333333333333,0.1,25.67592577,C/R,0.128104575163399,0.1,25.67592577,C/R
P-V06-W006,P-V06,WORK,455.9476984,0.6627564629,0.285560762555294,0.08249122698,115.5701686,R,0.65,0.014,0,D,7.5,1.2,0,D,0.0247933883219957,0.08,24.31778164,C/R,264.666499786624,25,24.31778164,C/R,replacement_rock_salt,,50,R,0.0722222222222222,0.1,24.31778164,C/R,0.0601307189542484,0.1,24.31778164,C/R
P-V06-W007,P-V06,WORK,516.0540763,0.712183852,0.284401919964887,0.08314253185,119.640824,R,0.65,0.014,0,D,7.5,1.2,0,D,0.0413223132491112,0.08,9.352916935,C/R,290.249525183961,25,9.352916935,C/R,replacement_rock_salt,,80.94289744,R,0.455555555555556,0.1,9.352916935,C/R,0.167320261437908,0.1,9.352916935,C/R
P-V06-REF-B,P-V06,REF,866.0540763,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
