point_id,profile_id,point_type,chainage_m,chainage_normalized_profile,kzt,kzt__standard_uncertainty,kzt__donor_distance_m,kzt__provenance,ko,ko__standard_uncertainty,ko__donor_distance_m,ko__provenance,seismic_energy_J_m2,seismic_energy_J_m2__standard_uncertainty,seismic_energy_J_m2__donor_distance_m,seismic_energy_J_m2__provenance,fill_density,fill_density__standard_uncertainty,fill_density__donor_distance_m,fill_density__provenance,fault_distance_m,fault_distance_m__standard_uncertainty,fault_distance_m__donor_distance_m,fault_distance_m__provenance,lithology,lithology__standard_uncertainty,lithology__donor_distance_m,lithology__provenance,terrain_TRI_relative,terrain_TRI_relative__standard_uncertainty,terrain_TRI_relative__donor_distance_m,terrain_TRI_relative__provenance,terrain_roughness_relative,terrain_roughness_relative__standard_uncertainty,terrain_roughness_relative__donor_distance_m,terrain_roughness_relative__provenance
P-H02-REF-A,P-H02,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-H02-W001,P-H02,WORK,0,0.2835701448,0.587150837988827,0.032,0,D,0.495530726256983,0.014,0,D,27.5,1.2,0,D,0.71074378490448,0.08,7.912350975,C/R,76.3974501751075,25,7.912350975,C/R,mixed_salts,,45.24521419,R,,0.1,7.912350975,C/R,,0.1,7.912350975,C/R
P-H02-W002,P-H02,WORK,95.79562529,0.3611838,0.587150837988827,0.032,0,D,0.495530726256983,0.014,0,D,27.5,1.2,0,D,0.760330557823181,0.08,19.10972353,C/R,17.6263306782275,25,19.10972353,C/R,mixed_salts,,0,D,,0.1,19.10972353,C/R,,0.1,19.10972353,C/R
P-H02-W003,P-H02,WORK,176.3414749,0.4264420806,0.591620111731844,0.032,0,D,0.495530726256983,0.014,0,D,27.5,1.2,0,D,0.900826454162598,0.08,7.945161402,C/R,6.48812938552813,25,7.945161402,C/R,mixed_salts,,0,D,,0.1,7.945161402,C/R,,0.1,7.945161402,C/R
P-H02-W004,P-H02,WORK,250.8248981,0.486788581,0.605027932960894,0.032,0,D,0.515083798882682,0.014,0,D,27.5,1.2,0,D,0.884297549724579,0.08,23.79921495,C/R,31.83749187333,25,23.79921495,C/R,mixed_salts,,0,D,,0.1,23.79921495,C/R,,0.1,23.79921495,C/R
P-H02-W005,P-H02,WORK,367.8710202,0.5816193975,0.672067039106145,0.032,0,D,0.540502793296089,0.014,0,D,27.5,1.2,0,D,0.892561972141266,0.08,12.96698532,C/R,146.814355649904,25,12.96698532,C/R,mixed_salts,,0,D,,0.1,12.96698532,C/R,,0.1,12.96698532,C/R
P-H02-W006,P-H02,WORK,429.5713478,0.6316090285,0.756983240223464,0.032,0,D,0.628491620111732,0.014,0,D,27.5,1.2,0,D,0.909090936183929,0.08,7.802053324,C/R,185.139976908762,25,7.802053324,C/R,mixed_salts,,0,D,,0.1,7.802053324,C/R,,0.1,7.802053324,C/R
P-H02-W007,P-H02,WORK,534.2625148,0.7164298552,0.645251396648045,0.032,0,D,0.499441340782123,0.014,0,D,27.5,1.2,0,D,0.900826454162598,0.08,17.16202613,C/R,254.600457139266,25,17.16202613,C/R,mixed_salts,,0,D,0.5,0.1,17.16202613,C/R,0.431372549019608,0.1,17.16202613,C/R
P-H02-REF-B,P-H02,REF,884.2625148,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-H03-REF-A,P-H03,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
