point_id,profile_label,figure_order,distance_label_as_printed_km,distance_value_from_label_km,method,observation_interval_label,source_pixel_x,source_pixel_y,signed_displacement_mm,digitization_envelope_half_width_mm,reading_status,reading_envelope_interpretation,source_file,source_sha256,pdf_page,provenance,eligible_as_t1_time_series,mapped_synthetic_point_id,input_table,input_row_number,input_table_sha256,origin_class,provenance_hash,reading_priority
SUP01-P1-LEVELING-2011_2016-011,1,11,1.100000000,1.100000000,leveling,2011-2016,682.000000000,326.000000000,-280.600000000,14.400000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,12,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-012,1,12,1.200000000,1.200000000,leveling,2011-2016,737.000000000,354.000000000,-314.000000000,20.300000000,partially_occluded_approximation,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,13,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-013,1,13,1.300000000,1.300000000,leveling,2011-2016,793.000000000,384.000000000,-349.900000000,14.400000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,14,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-014,1,14,1.400000000,1.400000000,leveling,2011-2016,848.000000000,383.000000000,-348.700000000,14.400000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,15,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2015_2016-001,1,1,0.000000000,0.000000000,leveling,2015-2016,127.500000000,90.500000000,0.600000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,16,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-002,1,2,0.200000000,0.200000000,leveling,2015-2016,182.884615385,90.500000000,0.600000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,17,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-003,1,3,0.300000000,0.300000000,leveling,2015-2016,238.269230769,103.500000000,-14.900000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,18,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-004,1,4,0.400000000,0.400000000,leveling,2015-2016,293.653846154,103.500000000,-14.900000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,19,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-005,1,5,0.500000000,0.500000000,leveling,2015-2016,349.038461538,103.500000000,-14.900000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,20,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-006,1,6,0.600000000,0.600000000,leveling,2015-2016,404.423076923,111.500000000,-24.500000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,21,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
